titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Little Bird,Tielman Brothers,1967,1357.0,,,,,,,,,,,,,,,,,,,,2pbgTHY154xY5C4Zusn1to
Red Sails In The Sunset,Fats Domino,1963,1358.0,,1375.0,1828.0,1313.0,1574.0,1458.0,1716.0,1452.0,1541.0,,1983.0,,,,,,,,,4ezEySNo2YlhPbZ9ZLeEq1
Fire And Rain,James Taylor,1970,1359.0,,1408.0,1098.0,1152.0,1503.0,1297.0,820.0,987.0,1053.0,682.0,762.0,867.0,765.0,766.0,753.0,879.0,1201.0,1207.0,1672.0,3LcYYV9ozePfgYYmXv0P3r
I Knew You Were Waiting,George Michael & Aretha Franklin,1987,1360.0,,1309.0,1615.0,,1844.0,1915.0,772.0,1946.0,1493.0,,,,,,,,,1944.0,1040.0,58lTbZKr7XkkR4zEpoLhYH
Don't It Make My Brown Eyes Blue,Crystal Gayle,1977,1361.0,1429.0,1825.0,,1920.0,1829.0,,,,,,,,,,,,,,,7Jpclr7tZ6aQXjoKzWXUJV
Voulez Vous Coucher Avec Moi Ce Soir (Lady Marmala,Labelle,1975,1362.0,1676.0,1232.0,1488.0,1568.0,,,,,,,,,,,,,,,,17VWTx7LD7liGlpnlGhUbn
Little Sister,Ry Cooder,1979,1363.0,,1089.0,1432.0,,1703.0,1714.0,1657.0,,1954.0,1732.0,,,,,,,,,,1uJT2yMhKnGBOBrrqQkAhJ
Jolene,Dolly Parton,1974,1364.0,,1471.0,1199.0,775.0,757.0,781.0,749.0,717.0,750.0,963.0,928.0,726.0,770.0,445.0,436.0,221.0,154.0,128.0,105.0,2SpEHTbUuebeLkgs9QB7Ue
Lay Back In The Arms Of Someone,Smokie,1977,1365.0,,1710.0,,,,,,,,,,,,,,,,,,1r9QBciQVM1BnW72cQUA4R
Is That All There Is?,Peggy Lee,1969,1366.0,,,1951.0,1792.0,1763.0,1909.0,1977.0,,1978.0,,,,,,,,,,,0TLD1RLFqPmpVR5ATWdMz6
Keeping The Dream Alive,Freiheit,1989,1367.0,1332.0,1018.0,1331.0,1673.0,1982.0,1927.0,,,,,,,,,,,,,,1MMMoieORGQrd8EPfFSHRh
It Never Rains In Southern California,Albert Hammond,1972,1368.0,,529.0,898.0,1123.0,1022.0,1016.0,1456.0,995.0,1121.0,,1489.0,1974.0,,,,,,,,6tunhVGD8C05MZNjSVIsjw
Funny Funny,Sweet,1971,1369.0,,275.0,,1536.0,1648.0,1557.0,,,,,,,,,,,,,,3RvtkEMNxcCpcy9SOv8aJQ
Grease,Frankie Valli,1978,1370.0,,1950.0,,,2000.0,,,,,,,,,,,,,,,5Vrczz39CvlD3OGCa6utoA
Shaffy Cantate,Ramses Shaffy & Liesbeth List,1965,1371.0,,,1154.0,1821.0,1195.0,1135.0,1133.0,1444.0,1322.0,178.0,1094.0,1148.0,1533.0,1525.0,1674.0,,,,,2FWT75SMgzR4fvtzPwMOfJ
What Can I Say,Boz Scaggs,1977,1372.0,,1451.0,1188.0,1645.0,1695.0,1784.0,2000.0,1938.0,1751.0,,,,,,,,,,,4WSbbEjRQ7uE3IT9crL10B
Music To Watch Girls By,Andy Williams,1967,1373.0,1571.0,1725.0,1624.0,1698.0,1849.0,1288.0,,1899.0,1893.0,,,,,,,,,,,39fUc1PFMJdOUJrSWrPuYp
Ode To Billie Joe,Bobbie Gentry,1967,1374.0,1946.0,1957.0,,,,,,,,,,,,,,,,,,4FdDorlbJTVHcH3djLbIfn
Peaceful Easy Feelin',Eagles,1972,1375.0,,,934.0,1355.0,1337.0,1133.0,1060.0,1093.0,1173.0,1149.0,1139.0,1214.0,1405.0,1378.0,1308.0,1418.0,1732.0,1769.0,,40h65HAR8COEoqkMwUUQHu
Sausolito Summernight,Diesel,1980,1376.0,,984.0,1722.0,1709.0,1550.0,1789.0,1984.0,2000.0,1759.0,1469.0,1586.0,1858.0,1699.0,1730.0,1781.0,,1906.0,1955.0,1984.0,3dH6lT5EAlUdF0QLm6uCNh
Still The Same,Bob Seger,1978,1377.0,,912.0,896.0,1276.0,1339.0,1568.0,1512.0,1321.0,1372.0,1943.0,1900.0,1967.0,,,,,,,,1Ryxsiacu8pUXIMCVnIQ8J
Young Americans,David Bowie,1975,1378.0,,,1719.0,1811.0,,,,,,,,,,,1976.0,,1203.0,1708.0,,7uPmQttafLiJyju14JREY4
Pictures Of Matchstick Men,Status Quo,1968,1379.0,,1178.0,1764.0,,1817.0,1819.0,1771.0,,1984.0,1973.0,,,,,,,,,,0MRs5O62wfDgf5cQKalrPq
The Night They Drove Ol 'Dixie Down,Joan Baez,1971,1380.0,1295.0,1475.0,1479.0,1634.0,1275.0,1382.0,1612.0,1806.0,1555.0,1851.0,1974.0,,,,,,,,,0uHYplBhwLYey7f9qAmnSM
Pour Moi La Vie Va Commencer,Johnny Hallyday,1963,1381.0,1459.0,1126.0,1633.0,1115.0,1506.0,1627.0,1344.0,1648.0,1441.0,,,,,,,,,,,0zI8sdxabgqcouuto4GM3j
You've Got Your Troubles,The Fortunes,1965,1382.0,1239.0,1343.0,1271.0,1266.0,1426.0,1531.0,1226.0,1499.0,1357.0,,,,,,,,,,,4g2B1iGsws8hpI5c2Rx7Ko
The Carnival Is Over,Seekers ,1965,1383.0,,,1241.0,1546.0,1570.0,1805.0,1783.0,1621.0,1671.0,1912.0,,,,,,,,,,4rtnLe7BMoqxUj4Y8Wgqf6
We Shall Overcome,Pete Seeger,1962,1384.0,,,,,,,,,,,,,,,,,,,,2XKUNFRqUFg9ugFI3WWzWQ
Dr. Beat,Miami Sound Machine,1984,1385.0,1709.0,1800.0,,,,,,,,,,,,,,,,,,21kwcsNL7YnianpVjXumHc
Anyone Who Had A Heart,Dionne Warwick,1964,1386.0,1586.0,,,,1745.0,,,,,,,,,,,,,,,2BQZvZsA9SRafvWEBSQnri
Coming Around Again,Carly Simon,1987,1387.0,,1231.0,1351.0,1630.0,1636.0,1767.0,1728.0,1327.0,1572.0,1998.0,1597.0,1490.0,,,,,,,,58Ga5VQlZMnCUV6ZRqf76k
Fly Me To The Moon,Frank Sinatra,1964,1388.0,,1310.0,1401.0,1054.0,934.0,1092.0,871.0,1036.0,991.0,943.0,956.0,840.0,818.0,762.0,827.0,589.0,660.0,745.0,671.0,5b7OgznPJJr1vHNYGyvxau
Guantanamera,Sandpipers,1966,1389.0,,,,,,,,,,,,,,,,,,,,6Z6bFqqxhHS53Z5SqT0exe
After The Love Has Gone,"Earth, Wind & Fire",1979,1390.0,,1037.0,1215.0,1783.0,1685.0,1676.0,1788.0,1704.0,1672.0,1452.0,1355.0,1580.0,1362.0,1559.0,1409.0,1741.0,1991.0,1988.0,,3cfnGXJ9bmiWvFqEO6ff8B
Cherish,Kool & The Gang,1985,1391.0,1365.0,1729.0,1998.0,,,,,,,,,,,,,,,,,5G518Bm1JGyFZx77nJIimf
Could It Be Magic,Donna Summer,1976,1392.0,1592.0,1755.0,1751.0,,,,,,,,,,,,,,,,,2MdGWAiYLmGbetrSBANcoD
Cry,Godley & Creme,1985,1393.0,,1596.0,1727.0,1833.0,1916.0,,,,,,,,,,,,,,,25JjvJjVQNIzZb4CAH62Lq
Girls Girls Girls,Sailor,1975,1394.0,1434.0,1655.0,,,,,,,,,,,,,,,,,,3d0eNVhAdSWrjtZQ36VOHK
Crimson & Clover,Tommy James and the Shondells,1969,1395.0,1927.0,1653.0,1867.0,,,,,,,,,,,,,,,,,1vXuYPpkLjn1v06E2EsWQY
Per Spoor (Kedeng Kedeng),Guus Meeuwis & Vagant,1996,1396.0,,,1646.0,1510.0,1397.0,1026.0,992.0,1187.0,1199.0,1085.0,1218.0,1267.0,1498.0,1403.0,1854.0,1842.0,,,1752.0,5FdLWxpHT56vitVh3CGiFV
Hé Kom Aan,Dimitri van Toren,1973,1397.0,1435.0,1237.0,1585.0,1687.0,1396.0,1500.0,1721.0,1695.0,1601.0,,,,,,,,,,,6X8pXys5m7kIpaXWUNXfN7
Kayuta Hill,Partner,1978,1398.0,,1620.0,1679.0,1733.0,1738.0,1633.0,,,,,,,,,,,,,,6cnBj58iK3wKvfCZmKg0hp
How Will I Know,Whitney Houston,1986,1399.0,,,,,,,,,,,,,,,,,,,,5tdKaKLnC4SgtDZ6RlWeal
I Feel Like I'm Fixing To Die' Rag,Country Joe & The Fish,1970,1400.0,1670.0,,,,,,,,,,,,,,,,,,,4ekhcmbinPu8eLHtxD2lav
Am I Losing You Forever,Mai Tai,1985,1401.0,,1551.0,1316.0,,,,,,,,,,,,,,,,,4LTLEWk49ZoEMEkDxiM1qa
Lady Of The Dawn,Mike Batt,1979,1402.0,1563.0,1801.0,1623.0,1845.0,,,,,,,,,,,,,,,,2vuXBL31jvaLxo7IdnLegC
High Noon,Frankie Laine,1952,1403.0,,1975.0,,1909.0,,,,,,,,,,,,,,,,1yGBGPgpGi5ua0HbHcvesQ
I Got A Name,Jim Croce,1975,1404.0,1066.0,856.0,1524.0,1979.0,1786.0,1584.0,1644.0,1853.0,1662.0,1731.0,1672.0,1737.0,1919.0,1362.0,1201.0,1469.0,1790.0,1927.0,,01kskHAdUp2lAsZIz4WtyM
Ik Heb Geen Zin Om Op Te Staan,Het,1965,1405.0,1269.0,1460.0,1641.0,1447.0,1702.0,1966.0,,,,,,,,,,,,,,4i0HqFY1cggDYuzts5I4bL
Na Na Na,The Shoes,1967,1406.0,1342.0,1345.0,1756.0,1989.0,1724.0,1697.0,1876.0,1931.0,1747.0,,1912.0,1800.0,1832.0,,,,,,,3OMUMYvl5sq50PfBXAPrTU
La Mamma,Corry Brokken,1964,1407.0,,,1913.0,1926.0,1925.0,1792.0,1944.0,1694.0,1778.0,,,,,,,,,,,2pIcfAQVKLIaYvoNsNHVZr
Photograph,Ringo Starr,1973,1408.0,1456.0,1816.0,1451.0,1614.0,1603.0,1687.0,,,,,,,,,,,,,,1hwN2eAwsXgktvw9Qe8TrP
Only Lies,Greenfield & Cook,1971,1409.0,1220.0,1533.0,1744.0,1406.0,1643.0,1368.0,1950.0,1850.0,1661.0,,,,,,,,,,,2aXvDFInMXVMANNx4VJSCp
Isabelle Je t'Aime,Les Poppys,1972,1410.0,,,1507.0,1620.0,1770.0,1225.0,1505.0,,1822.0,,,,,,,,,,,1U75JbNm3xJtFpIUlHbq5V
Please Don't Go,KC & The Sunshine Band,1979,1411.0,863.0,1352.0,1852.0,,1824.0,1983.0,1892.0,,1991.0,,,,,,,,,,,6dw6BquK0Mv72p6HpusqKN
Smoke Gets In Your Eyes,Platters,1959,1412.0,1796.0,,1906.0,1581.0,,,,,,,,,,,,,,,,2vSxjnyrWrtxyfzO47EX6q
Theme From Shaft,Isaac Hayes,1971,1413.0,1151.0,1260.0,1593.0,1603.0,1696.0,,,,,,,,,,,,,,,7KMILVTQdVS4zQ8ilTcpRO
Well Allright,Blind Faith,1969,1414.0,1407.0,1513.0,1565.0,,1761.0,,,,,,,,,,,,,,,1ciyo6fXse9dyYhxnVXUIi
Satellite Of Love,Lou Reed,1972,1415.0,,,,,,,,,,,,,,1196.0,1964.0,,,,,5WyuRWUcOOhAic0tj9Pl28
Wordy Rappinghood,The Tom Tom Club,1981,1416.0,1237.0,1442.0,1704.0,,,,,,,1990.0,,,,,,,,,,7BzNmzmim2mQmSHRxyQLlj
Runaway Boys,Stray Cats,1980,1417.0,1629.0,1717.0,,1130.0,1670.0,1620.0,,,,1957.0,1875.0,,,,,,,,,1G9CoqXAYqagyOaNlIK4s1
Stay With Me Till Dawn,Judie Tzuke,1979,1418.0,,1789.0,1850.0,,,,,,,,,,,,,,,,,4S225LVaJuemmuqgfJ2prD
So You Win Again,Hot Chocolate,1977,1419.0,1948.0,,1635.0,,,,,,,,,,,,,,,,,1tMi57U5Nkk6qRZSNwbzQr
Words,F.R. David,1982,1420.0,1537.0,1595.0,1893.0,,1838.0,,,,,,,,,,,,,,,1HPJOoIVdUPuaebxzMrVaD
Sailor,Sailor,1975,1421.0,1352.0,1439.0,1276.0,1319.0,1427.0,1486.0,1545.0,,1774.0,1578.0,1787.0,1966.0,1997.0,,,,,,,2zUWno3wsmMpYY0qHVh1Ju
Swimming Into Deep Water,Don Rosenbaum,1972,1422.0,1579.0,1397.0,1634.0,1796.0,1980.0,1148.0,,,,,,,,,,,,,,0Kf9ZQMY6qdKVguEvGloZR
The Opera,The Dizzy Man's Band,1975,1423.0,1049.0,410.0,701.0,1033.0,745.0,844.0,906.0,1035.0,858.0,1326.0,1340.0,1546.0,1885.0,1605.0,1754.0,,,,,5tTUFbHW0Y1fhib3Dap2k3
Wonderful ,Colin Blunstone,1973,1424.0,,846.0,1080.0,1126.0,1020.0,1122.0,1109.0,1316.0,1150.0,1450.0,1611.0,1876.0,1850.0,,,,,,,3ra6OExZIvvPticw3gu5Zd
Baby Love,The Supremes,1964,1425.0,1363.0,1785.0,1904.0,,,,,,,,,,,,,,,,,5uES1C2NgkdrNHiCwf9jRr
Bangla Desh,George Harrison,1971,1426.0,,1223.0,1306.0,1350.0,1435.0,1548.0,1595.0,1855.0,1583.0,1743.0,1946.0,,,,,,,,,3XLeGkYI3ekR5ByhrNauEN
Black Is Black,Los Bravos,1966,1427.0,1545.0,1701.0,,1730.0,1896.0,1761.0,1906.0,1971.0,1788.0,,,,,,,,,,,6lazLV13sV8VNGJTjL4Zeu
City To City,Gerry Rafferty,1978,1428.0,1761.0,1775.0,1819.0,1812.0,,1877.0,,,,,,,,,,,,,,0VM17tTiNwwJLDaOgJfQIh
Claudette,The Everly Brothers,1958,1429.0,1367.0,,,,,,,,,,,,,,,,,,,6CTqrPoU0iaqNPBYj9me7L
Cherchez La Femme,Dr. Buzzard's Or. Savannah Band,1977,1430.0,,1512.0,1201.0,1789.0,,,,,,,,,,,,,,,,5endSWellqnUqEIO2OOdzj
De Troubadour,Lenny Kuhr,1969,1431.0,1486.0,1869.0,,1695.0,1919.0,1974.0,1742.0,1970.0,1783.0,,,,,,,,,,,31VRNSB6FA4KP7TOkW3k3A
Don't Get Me Wrong,The Pretenders,1986,1432.0,,1745.0,,,,,,,,,,,,,,,,,,0ll47sukICcHxZMbLnUbR2
Dedicated To The One I Love,The Mamas & The Papas,1967,1433.0,1659.0,1687.0,1659.0,,1975.0,,1797.0,,,1722.0,1769.0,,,,,,,,,1mFrjW8e8fuAOowlU3Q3Dr
Delilah,Tom Jones,1968,1434.0,1372.0,,1999.0,1857.0,1772.0,1844.0,1868.0,,1961.0,,,,,,,,,,,2v8B8d17Xxu9uLU5sNiHSL
Both Sides Now,Euson,1971,1435.0,,1535.0,1824.0,1994.0,1729.0,,1981.0,1913.0,1885.0,,,,,,,,,,,
Dead End Street,Kinks,1966,1436.0,340.0,1783.0,,1934.0,1749.0,1830.0,1681.0,,1915.0,,,,,,,,,,,6zDoWWeR6O4kM4TMkWr6Le
Everlasting Love,Love Affair,1968,1437.0,1663.0,1478.0,1518.0,1736.0,1583.0,1264.0,1533.0,1997.0,1610.0,1986.0,1758.0,,,,,,,,,40XXjm2pU6LGZkLq5VmkaQ
De Wilde Boerendochter,Ivan Heylen,1974,1438.0,1062.0,1693.0,,,,,,,,,,,,,,,,,,44ucQKppKnwPIzmZzTejhl
Clair,Gilbert O'Sullivan,1972,1439.0,1485.0,601.0,1746.0,1846.0,1675.0,1415.0,1583.0,,1808.0,,,,,,,,,,,1lYJDRaadnotdfcZFp5Izd
Ole Guapa,Malando,1948,1440.0,1898.0,1906.0,1658.0,1588.0,,,,,,,,,,,,,,,,3zrDG65S8daoc9D69kuaUg
Man Of The World,Fleetwood Mac,1969,1441.0,963.0,778.0,1193.0,1244.0,1127.0,1305.0,1604.0,1848.0,1427.0,1668.0,1745.0,1975.0,1878.0,1755.0,1946.0,,,,,4aP3UueHIx7nv2xus8kWW0
Popcorn,Hot Butter,1972,1442.0,1349.0,1426.0,1708.0,,,,,,,,,,,,,,,,,6Z5wWOqBfk4G3bP1KF2Vbj
Home On A Monday,Little River Band,1977,1443.0,1106.0,1057.0,937.0,1358.0,1421.0,1473.0,1613.0,1987.0,1546.0,1829.0,1623.0,1952.0,1933.0,1984.0,1766.0,,,,,04llxYaK7g8yeHk5A8ohIV
I'm A Man,The Spencer Davis Group,1967,1444.0,,,1167.0,1063.0,1484.0,1906.0,,,,,,,,,,,,,,1oXq63OUf43LDnNPVtfvX8
Jesus Is Just Allright,Byrds,1970,1445.0,,1786.0,,1948.0,,,,1778.0,,,,,,,,,,,,0bux8uey9F2gKAY3OMCUFW
My Life,Billy Joel,1979,1446.0,,1138.0,,,,,,,,,,,,,,,,,,4ZoBC5MhSEzuknIgAkBaoT
Bernardine,Pat Boone,1957,1447.0,,,,1932.0,,,1926.0,,,,,,,,,,,,,5KrS3wSr8nyllOmuYbDlwq
Rider In The Rain,Randy Newman,1978,1448.0,,1249.0,1618.0,1496.0,1923.0,1956.0,1787.0,,1926.0,,,,,,,,,,,4ufQarTCdYs0vEptNdcSOu
Everybody Loves Somebody,Dean Martin,1964,1449.0,,1842.0,1912.0,1638.0,1861.0,1532.0,1623.0,1529.0,1626.0,,,,,,,,,,,78VG6M1i7JQXBdygmWFwye
In The Summertime,Mungo Jerry,1970,1450.0,1382.0,,1454.0,1272.0,1765.0,1943.0,1784.0,,1905.0,,,,,,,,,,,3RNyGLgSvmVRZ7xKUp8Wgd
It Must Be Love,Labi Siffre,1972,1451.0,,1823.0,1638.0,1983.0,,,,,,,,,,,,,,,,70Y4jSu8zk3l8gyKTUz3l0
Get Down And Get With It,Slade,1971,1452.0,,,714.0,1207.0,,,,,,,,,,,,,,,,3rEUXKfkeb6kPH6NCxkgCo
Jingo Lo-Ba,Santana,1970,1453.0,,1757.0,1874.0,1343.0,1868.0,1783.0,,,,1883.0,1830.0,,,,,,,,,1YgkIE2RdkLd5AavmD7ufN
The Tide Is High,Blondie,1980,1454.0,1475.0,1659.0,1059.0,1079.0,963.0,1554.0,1935.0,,1764.0,,,,,,,,,,,165NAtd2DRPKNQ6EVY0VG9
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,1455.0,,1281.0,1864.0,,,,,,,,,,,,,,,,,
Stimmen Im Wind,Juliane Werding,1986,1456.0,,1109.0,1825.0,,1931.0,1822.0,1883.0,,,,,,,,,,,,,3m470QjpRrrFxCD1aWMX52
Substitute,Clout,1978,1457.0,1003.0,1323.0,1246.0,1788.0,1416.0,1729.0,1889.0,,1868.0,1728.0,,,,,,,,,,5po2HCMZvJ0aPSxRRGKm3p
Sweet Freedom,Michael McDonald,1986,1458.0,1694.0,1447.0,1908.0,,,,,,,,,,,,,,,,,0x5T32khKAbro9bHapjoRL
Woodstock,Matthews Southern Comfort,1970,1459.0,,1422.0,,1784.0,,,,1892.0,,,,,,,,,,,,7IwFA0HPOBCoQT5qzP0jDN
You Were On My Mind,Crispian St. Peters,1966,1460.0,1647.0,1782.0,1707.0,1911.0,1938.0,,,,,,,,,,,,,,,0TMHOFGVHGk21BX1Jtwl24
Rocky,Don Mercedes,1976,1461.0,1288.0,1403.0,1607.0,1779.0,1747.0,1484.0,1746.0,1790.0,1667.0,,,,,,,,,,,50BgJtwNg9eWNwsbpzyy74
Roll Over Beethoven,Chuck Berry,1956,1462.0,1467.0,1672.0,1468.0,1462.0,1525.0,1870.0,,1748.0,1880.0,,,1929.0,,,,,,,,6C7aTTCUWRK7dD379yUT3W
Stuck On You,Lionel Richie,1984,1463.0,,1479.0,,,1673.0,1982.0,1997.0,,,,,,,,,,,,,0ROwoz82DIW4tOzkxYnSjf
The Last Farewell,Roger Whittaker,1975,1464.0,,1831.0,,,,1885.0,1908.0,,,,,,,,,,,,,3o4IPRBby6tOJ7OEhRzr3c
When I Was Young,Animals & Eric Burdon,1967,1465.0,,1111.0,605.0,886.0,966.0,1014.0,1089.0,1084.0,1009.0,1805.0,1435.0,,,,,,,,,6LxXdrEUMYbizBez6g2TLJ
Rose Of Cimarron,Poco,1976,1466.0,,,1361.0,1329.0,1584.0,1424.0,1581.0,,1820.0,,,,,,,,,,,6F6wNXQ5MSL2uH96sB6Mmv
Sugar Me,Lynsey de Paul,1972,1467.0,1578.0,1613.0,1794.0,1907.0,1876.0,,,,,,,,,,,,,,,3YyRYbYOpR3LrPUL1B41Mx
Do It Again,Beach Boys,1968,1468.0,,1584.0,1808.0,,,,,,,,,,,,,,,,,0vhCcrN8ULryq1KuEEYlm2
2000 Miles,The Pretenders,1983,1469.0,1306.0,1623.0,1885.0,,1914.0,,,,,,,,1717.0,,,,,,,5qRMxE0ogjiD68GeAbNj0c
36-24-36,Shadows,1961,1470.0,,,1640.0,1271.0,1493.0,1740.0,1885.0,,1894.0,,,,,,,,,,,6aAZ09YT6pdLslny2SrLDv
A Boy Named Sue,Johnny Cash,1969,1471.0,,1296.0,1408.0,619.0,743.0,961.0,640.0,676.0,707.0,526.0,441.0,406.0,216.0,326.0,467.0,400.0,493.0,525.0,508.0,5xMNjx7uqCzMpJZSo4Wq55
All Around The World,Lisa Stansfield,1989,1472.0,,1967.0,1949.0,,,,,,,,,,,,,,,,,0piPn2zyL4Yi60ml53qNXE
First Time,Robin Beck,1988,1473.0,1767.0,,,,,,,,,,,,,,,,,,,1SEiTDZDxiIZan9apE6RnM
Cinderella Rockafella,Esther & Abi Ofarim,1968,1474.0,,1879.0,,,,,,,,,,,,,,,,,,6h0Rd5QvCpyOOkB7CpnnOD
All I Wanna Do,Sheryl Crow,1994,1475.0,1480.0,1486.0,1677.0,1739.0,,,,,,,,,,,,,,,,3ZpQiJ78LKINrW9SQTgbXd
Tanze Mit Mir In Den Morgen,Gerhard Wendland,1962,1476.0,,,,,,,,,,,,,,,,,,,,7Lz5szXr5YPikT02LHQGRO
Goldfinger,Shirley Bassey,1965,1477.0,,1985.0,1939.0,,,,,,,,,,,,,,,,,7r0EUONfPUZ8SD1vu4ro27
If I Were A Carpenter,Four Tops,1968,1478.0,1672.0,1369.0,1731.0,1782.0,1676.0,1549.0,1931.0,1849.0,1722.0,,1996.0,,,,,,,,,75tHHyxJw2u6EeMPaTNXHD
In Het Donker (Zien Ze Je Niet),Kadanz,1983,1479.0,1270.0,1609.0,,1965.0,,,,,,,,,,,,,,,,5xF3cCbj2jM0mrl0Yg7Gan
Daydream Believer,Monkees,1967,1480.0,1248.0,906.0,1233.0,1150.0,1315.0,1472.0,1427.0,1682.0,1404.0,1268.0,1329.0,1497.0,1488.0,1306.0,1819.0,1951.0,1987.0,1983.0,1968.0,7uEcCGtM1FBBGIhPozhJjv
Funky Town,Lipps Inc,1980,1481.0,1600.0,1688.0,1964.0,1398.0,1952.0,,,,,,,,,,,,,,,7723JnKU2R15Iv4T7OJrly
Blue Moon,Marcels,1961,1482.0,,1834.0,1914.0,1905.0,,,,,,,,,,,,,,,,75ewj77lCHHLKOlyx5KvGw
Frank Mills,Bojoura,1969,1483.0,1490.0,,1512.0,,,,,1990.0,,,,,,,,,,,,74vOeTAS5WoCHrq3WLGocH
If I Only Had Time,John Rowles,1968,1484.0,,,1953.0,,,,,,,,,,,,,,,,,2iNBbk78nHBaeSMhtFRYsM
Dirty Ol' Man,Three Degrees,1973,1485.0,,1120.0,1087.0,1988.0,1707.0,1970.0,1668.0,,1902.0,1974.0,,,,,,,,,,2svNxzjcNhy1U9JhaxAaQa
It's Not Unusual,Tom Jones,1965,1486.0,1109.0,1446.0,1453.0,1679.0,1771.0,,,,,,,,,,,,,,,3TlIt0ReIxPsVZcOEivT5U
Now That We Found Love,Third World,1979,1487.0,1730.0,1709.0,1848.0,,1689.0,,1990.0,,,,,,,,,,,,,3id47ouFwvCPOdFe2wj5Zs
Queen For Tonight,Helen Shapiro,1963,1488.0,,,1929.0,1771.0,1437.0,1753.0,1404.0,1860.0,1644.0,,,,,,,,,,,6VJosT2Ir5CIwPTuXg0D8F
It's So Easy,Linda Ronstadt,1977,1489.0,,1892.0,329.0,,,,,,,,,,,,,,,,,6AZyiAl6mr3Jcp6AlmiQwF
Just An Illusion,Imagination,1982,1490.0,,,,,,,,,,,,,,,,,,,,4QT3YKobBj4BI7xCYRLr9u
Only One Woman,Marbles,1968,1491.0,1625.0,1539.0,1795.0,1680.0,1949.0,,,,,,,,,,,,,,,5JE9FCY8Kyy8IZjhhMriHV
Rawhide,Frankie Laine,1958,1492.0,1687.0,1925.0,1855.0,1700.0,1954.0,1811.0,,,,,,,,,,,,,,09hqdBBV43zd0wjut66lyD
It's The End,Buffoons,1968,1493.0,958.0,1803.0,1511.0,1385.0,1514.0,1242.0,1273.0,1375.0,1346.0,1892.0,1927.0,,,,,,,,,3NTOOevQxImgzr44EPs9S1
Love Don't Live Here Anymore,Rose Royce,1978,1494.0,,1981.0,1886.0,,,,,,,,,,,,,,,,,2zeR3kzW8XtdD34OG0fPUb
"My Truly, Truly Fair",Guy Mitchell,1951,1495.0,1728.0,,,1958.0,,,,,,,,,,,,,,,,5UKcLXMxnK07HqmnHCi1C7
Jukebox Jive,The Rubettes,1974,1496.0,,,1854.0,,,,,,,,,,,,,,,,,5YNbDTLvur9e1YM53NVL3l
L'Amour Est Bleu,Paul Mauriat,1968,1497.0,1722.0,1960.0,,,,,,,,,,,,,,,,,,7HbUkPf4IvY5ziEeKNesUI
Pearly Dumm,BZN,1980,1498.0,,,,,,1826.0,1462.0,929.0,1703.0,,,,,,,,,,,5lAY3CJAPJPOGDTdpGXu6W
Upside Down,Diana Ross,1980,1499.0,1870.0,,,1944.0,,,,,,,,,,,,,,,,2HwoWyT3emZTBY0vs1R487
Would I Lie To You,Charles & Eddie,1992,1500.0,1584.0,1917.0,1796.0,,,,,,,,,,,,,,,,,21MLFi0ISlqDBp7DQHPi7p
Tears Of A Clown,Smokey Robinson (& The Miracles),1970,1501.0,,1929.0,,1618.0,,,,,,,,,,,,,,,,4Dq749x2QP6OXTURJ9GGY8
Torn Between Two Lovers,Mary MacGregor,1977,1502.0,1531.0,,,,,,,,,,,,,,,,,,,64PqvBqVyWABznKG6DXU6p
Traffic Jam,Sailor,1974,1503.0,,1636.0,1769.0,1816.0,1734.0,,,,,,,,,,,,,,,49GMDPPM9rCAGMrerkmcH0
Tossing And Turning,Ivy League,1965,1504.0,1868.0,,,,,,,,,,,,,,,,,,,5q8U2NsIc57QWjY7MZi371
Well Alright,Buddy Holly,1958,1505.0,,1676.0,1443.0,829.0,1691.0,1594.0,1923.0,1943.0,1635.0,,,,,,,,,,,5cV0a3xSTK2eecPUibFEPn
Tomorrow Is Another Day,Buffoons,1967,1506.0,1122.0,1277.0,957.0,1225.0,1113.0,1189.0,1356.0,1267.0,1222.0,1770.0,1781.0,,,,,,,,,32mqyYvDZOhXc0xHIdVxGZ
You're In The Army Now,Bolland & Bolland,1981,1507.0,,,,,,,,,,,,,,,,,,,,64VpEDE68BYskWIQjrdp5i
Sheila,Tommy Roe,1962,1508.0,,,,1962.0,,,,,,,,,,,,,,,,5Mzu8smN6fRBCaUaTytD1W
Whenever I Call You Friend,Kenny Loggins & Stevie Nicks,1978,1509.0,1583.0,1682.0,1919.0,,,,,,,,,,,,,,,,,5NCY3uTCovd93aqwbodUhm
See You Later Alligator,Bill Haley & The Comets,1956,1510.0,1795.0,1893.0,,,,,,,,,,,,,,,,,,05eNEozACh10Rn0ewFnH8Y
What Is Life,George Harrison,1971,1511.0,1644.0,966.0,1094.0,1050.0,1232.0,1533.0,1674.0,1573.0,1423.0,1549.0,1750.0,1855.0,,1918.0,1875.0,,,,,76TpWFiK5YCgw1hy26DWZp
9 To 5,Dolly Parton,1981,1512.0,,1456.0,1971.0,1718.0,1641.0,1947.0,1995.0,1944.0,1777.0,,,,1611.0,,,,,,1241.0,4w3tQBXhn5345eUXDGBWZG
