titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
Mr. Blue Sky,Electric Light Orchestra,1978,69.0,59.0,42.0,68.0,80.0,90.0,73.0,84.0,112.0,81.0,85.0,88.0,92.0,115.0,85.0,90.0,58.0,79.0,55.0,51.0,2RlgNHKcydI9sayD2Df2xp
Heroes,David Bowie,1977,70.0,62.0,77.0,63.0,71.0,99.0,137.0,125.0,130.0,112.0,123.0,112.0,145.0,119.0,79.0,34.0,60.0,7.0,11.0,17.0,7Jh1bpe76CNTCgdgAdBw4Z
Year Of The Cat,Al Stewart,1977,71.0,60.0,36.0,55.0,63.0,77.0,83.0,127.0,78.0,79.0,198.0,169.0,241.0,358.0,380.0,414.0,448.0,440.0,415.0,600.0,7MTX3vevnm41xuEoPxWT3j
In The Air Tonight,Phil Collins,1981,72.0,127.0,81.0,81.0,56.0,75.0,106.0,102.0,143.0,95.0,109.0,113.0,115.0,102.0,106.0,97.0,87.0,54.0,48.0,41.0,18AXbzPzBS8Y3AkgSxzJPb
De Vlieger,André Hazes,1977,73.0,,60.0,82.0,78.0,51.0,69.0,87.0,67.0,70.0,196.0,159.0,234.0,220.0,333.0,406.0,395.0,405.0,379.0,344.0,6TMKJlY7W1D6WHQaJ7BsDJ
Last Christmas,Wham,1984,74.0,139.0,263.0,292.0,447.0,286.0,467.0,358.0,437.0,359.0,416.0,443.0,631.0,930.0,743.0,628.0,547.0,530.0,366.0,484.0,2FRnf9qhLbvw8fu4IBXx78
I Still Haven't Found What I'm Looking For,U2,1987,75.0,,97.0,88.0,118.0,111.0,92.0,72.0,73.0,84.0,102.0,107.0,102.0,121.0,116.0,124.0,132.0,142.0,123.0,128.0,1Jt3AC8MAqjoOYMWEj1r3N
The Day Before You Came,ABBA,1982,76.0,73.0,65.0,65.0,55.0,91.0,65.0,104.0,44.0,57.0,78.0,91.0,139.0,191.0,183.0,133.0,215.0,275.0,273.0,315.0,6W26h4KbGUnEaav5VWIyJm
Hey Joe,Jimi Hendrix Experience,1967,77.0,105.0,182.0,163.0,167.0,151.0,174.0,196.0,220.0,170.0,179.0,204.0,161.0,203.0,215.0,343.0,360.0,428.0,437.0,366.0,0NWPxcsf5vdjdiFUI8NgkP
We Are The Champions,Queen,1977,78.0,128.0,319.0,223.0,267.0,247.0,222.0,271.0,655.0,301.0,424.0,470.0,412.0,601.0,555.0,672.0,579.0,543.0,583.0,216.0,7ccI9cStQbQdystvc6TvxD
Money,Pink Floyd,1973,79.0,197.0,219.0,293.0,230.0,326.0,245.0,214.0,347.0,248.0,291.0,290.0,264.0,211.0,271.0,323.0,398.0,416.0,402.0,362.0,0vFOzaXqZHahrZp6enQwQb
Pastorale,Ramses Shaffy & Liesbeth List,1969,80.0,119.0,58.0,40.0,51.0,43.0,33.0,24.0,51.0,40.0,6.0,21.0,27.0,46.0,42.0,47.0,71.0,69.0,86.0,106.0,2BUfuy4p88WKk3d49B1ayP
Thriller,Michael Jackson,1983,81.0,187.0,162.0,239.0,340.0,309.0,408.0,246.0,506.0,324.0,52.0,126.0,144.0,181.0,176.0,212.0,205.0,176.0,147.0,113.0,7azo4rpSUh8nXgtonC6Pkq
Somebody To Love,Queen,1976,82.0,65.0,88.0,74.0,104.0,119.0,126.0,129.0,150.0,122.0,134.0,116.0,104.0,87.0,91.0,81.0,65.0,58.0,66.0,33.0,6cFZ4PLC19taNlpl9pbGMf
A Day In The Life,Beatles,1967,83.0,66.0,87.0,98.0,122.0,127.0,107.0,76.0,49.0,75.0,71.0,75.0,78.0,82.0,126.0,148.0,167.0,241.0,165.0,247.0,0hKRSZhUGEhKU6aNSPBACZ
With A Little Help From My Friends,Joe Cocker,1968,84.0,287.0,148.0,169.0,238.0,159.0,180.0,179.0,335.0,193.0,233.0,225.0,201.0,338.0,311.0,364.0,220.0,299.0,286.0,348.0,0YZ3J8xzGwLOg4yEgST1YK
I Want To Break Free,Queen,1984,85.0,123.0,177.0,108.0,121.0,108.0,129.0,121.0,172.0,130.0,183.0,195.0,126.0,231.0,235.0,219.0,219.0,224.0,265.0,118.0,7h2yhVxcZOGyQdOwD4Hu8J
Total Eclipse Of The Heart,Bonnie Tyler,1983,86.0,133.0,142.0,124.0,215.0,208.0,264.0,352.0,316.0,245.0,486.0,478.0,503.0,629.0,579.0,645.0,664.0,647.0,619.0,480.0,5prTs2HAw2G4idHZyeFp8o
Nikita,Elton John,1985,87.0,143.0,181.0,368.0,396.0,289.0,410.0,346.0,359.0,335.0,669.0,506.0,737.0,1046.0,917.0,837.0,973.0,996.0,786.0,860.0,3G0ENKW9vzV0SuYKaWFflI
Roxanne,Police,1979,88.0,186.0,217.0,221.0,309.0,232.0,391.0,363.0,341.0,303.0,249.0,207.0,210.0,219.0,201.0,287.0,299.0,233.0,228.0,187.0,3EYOJ48Et32uATr9ZmLnAo
Careless Whisper,George Michael,1984,89.0,275.0,288.0,226.0,517.0,469.0,625.0,425.0,580.0,469.0,545.0,691.0,691.0,546.0,721.0,648.0,710.0,614.0,232.0,204.0,4jDmJ51x1o9NZB5Nxxc7gY
Nothing Compares 2u,Sinead O'Connor,1990,90.0,115.0,200.0,216.0,126.0,172.0,247.0,224.0,343.0,203.0,254.0,269.0,300.0,348.0,364.0,327.0,394.0,361.0,323.0,282.0,6xGtnKOUUfmoBchjLAxbif
Wonderful Tonight,Eric Clapton,1988,91.0,214.0,116.0,156.0,180.0,150.0,124.0,153.0,191.0,146.0,251.0,239.0,274.0,349.0,321.0,325.0,361.0,392.0,383.0,455.0,6zC0mpGYwbNTpk9SKwh08f
Woman In Love,Barbra Streisand,1980,92.0,157.0,176.0,196.0,193.0,219.0,173.0,229.0,156.0,176.0,246.0,242.0,453.0,755.0,661.0,536.0,672.0,630.0,542.0,842.0,1pTGc8pwyo6xtgXBKCBcFn
Mama,Genesis,1983,93.0,107.0,93.0,102.0,113.0,143.0,148.0,177.0,232.0,150.0,163.0,188.0,211.0,227.0,231.0,215.0,233.0,225.0,175.0,342.0,6kIwzLSiQU51taaaZ9zWSE
