titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Radar Love,Golden Earring,1973,23.0,21.0,21.0,27.0,27.0,12.0,13.0,16.0,23.0,17.0,24.0,16.0,18.0,18.0,24.0,26.0,31.0,22.0,21.0,27.0,23.0,Radar Love,Golden Earring,spotify:track:4Zau4QvgyxWiWQ5KQrwL43,spotify:artist:1iTlOqIrZy8DlvCPJY2sjS,spotify:album:2qZLEQ9KsfExIhQKJF3VkD,0.00878,0.504,0.719,0.00149,0.075,-9.155,0.0431,102.144,0.177,63.0
Old And Wise,The Alan Parsons Project,1982,24.0,28.0,13.0,8.0,9.0,11.0,9.0,11.0,9.0,8.0,18.0,10.0,20.0,21.0,31.0,28.0,37.0,37.0,35.0,65.0,76.0,Old and Wise,The Alan Parsons Project,spotify:track:5Jt2AQv1c3RUF5ENtAYF1i,spotify:artist:2m62cc253Xvd9qYQ8d2X3d,spotify:album:4BGd9BmpePqeSfHLeYiCDr,0.727,0.375,0.317,2.92e-05,0.123,-11.741,0.0315,112.003,0.12,56.0
Losing My Religion,R.E.M.,1991,25.0,15.0,37.0,42.0,33.0,46.0,76.0,79.0,132.0,60.0,67.0,83.0,68.0,118.0,111.0,126.0,112.0,80.0,73.0,84.0,112.0,Losing My Religion,R.E.M.,spotify:track:31AOj9sFz2gM0O3hMARRBx,spotify:artist:4KWTAlx2RvbpseOGMEmROg,spotify:album:6yEuIwTQpciH1qtj7mP5GK,0.179,0.666,0.855,1.2e-06,0.0987,-5.051,0.0295,125.639,0.803,80.0
School,Supertramp,1974,26.0,17.0,16.0,14.0,21.0,34.0,37.0,36.0,52.0,33.0,46.0,44.0,37.0,35.0,37.0,41.0,52.0,48.0,44.0,44.0,41.0,School,Supertramp,spotify:track:6fnachl7fIn5dqIjakfJ57,spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx,spotify:album:2wrHaulTgqqkVKx0k7Kq4r,0.537,0.366,0.468,0.0283,0.0664,-14.514,0.0826,90.281,0.0506,62.0
Let It Be,The Beatles,1970,27.0,37.0,40.0,47.0,23.0,41.0,55.0,58.0,57.0,49.0,54.0,46.0,56.0,52.0,39.0,50.0,51.0,68.0,79.0,53.0,53.0,Let It Be - Remastered 2009,The Beatles,spotify:track:7iN1s7xHE4ifF5povM6A48,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:0jTGHV5xqHPvEcwL8f6YU5,0.631,0.443,0.403,0.0,0.111,-8.339,0.0322,143.462,0.41,77.0
Brothers In Arms,Dire Straits,1985,28.0,22.0,7.0,9.0,11.0,15.0,19.0,20.0,19.0,13.0,21.0,19.0,15.0,11.0,11.0,14.0,15.0,19.0,17.0,15.0,17.0,Money for Nothing,Dire Straits,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,spotify:album:7jvcSnCnugLcisBCNBm60s,0.0491,0.667,0.655,0.000894,0.0641,-9.339,0.0367,134.212,0.657,61.0
Sympathy For The Devil,The Rolling Stones,1973,29.0,34.0,44.0,28.0,14.0,26.0,38.0,45.0,59.0,38.0,43.0,43.0,46.0,50.0,35.0,37.0,46.0,60.0,51.0,49.0,65.0,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,spotify:track:1Ud6moTC0KyXMq1Oxfien0,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,spotify:album:6OHri5qNxwCdVSdyCslspd,0.518,0.702,0.668,0.0,0.0588,-9.237,0.214,116.063,0.561,73.0
Who Wants To Live Forever,Queen,1986,30.0,23.0,34.0,22.0,45.0,50.0,74.0,74.0,120.0,62.0,77.0,87.0,94.0,134.0,100.0,100.0,99.0,86.0,107.0,74.0,74.0,Who Wants To Live Forever - Remastered 2011,Queen,spotify:track:00QAndVDVfNqNWYdWAhEan,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:7rq68qYz66mNdPfidhIEFa,0.577,0.135,0.399,0.00104,0.115,-8.67,0.0361,87.476,0.0383,49.0
Everybody Hurts,R.E.M.,1993,31.0,,50.0,61.0,58.0,61.0,58.0,66.0,99.0,68.0,76.0,66.0,59.0,101.0,122.0,138.0,138.0,140.0,144.0,166.0,181.0,Everybody Hurts,R.E.M.,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,spotify:artist:4KWTAlx2RvbpseOGMEmROg,spotify:album:0BiNb8HYR4JvuxUa31Z58Q,0.615,0.467,0.324,0.0248,0.118,-10.451,0.0255,94.301,0.166,72.0
Over De Muur,Klein Orkest,1984,32.0,38.0,54.0,50.0,59.0,56.0,48.0,47.0,64.0,52.0,47.0,56.0,83.0,71.0,84.0,60.0,76.0,81.0,45.0,60.0,30.0,Over De Muur - Live in Carré,Harrie Jekkers,spotify:track:2jV28FCpmVQNbgcC5a5D7A,spotify:artist:4QAsKGyhi6ngDLGntc54ql,spotify:album:6l9Ti04RCFwnjW90Ls3ubC,0.561,0.494,0.717,0.000573,0.722,-6.668,0.0437,97.85,0.212,15.0
