titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Honey,Bobby Goldsboro,1968,,1102.0,942.0,1116.0,1605.0,1091.0,1476.0,1389.0,1556.0,1377.0,,,,,,,,,,,,Honey,Bobby Goldsboro,spotify:track:2Qhvi6R73Zj3cpzRYzcAww,spotify:artist:5gPEo032lzARtzuVqJIm9o,spotify:album:2AKHoOuDzuJ6d75eaDzZmP,0.674,0.399,0.278,0.000694,0.203,-13.122,0.0291,93.189,0.597,56.0
I'm A Man,Chicago,1969,,1104.0,1455.0,1217.0,1487.0,1251.0,1562.0,,,1994.0,,,,,,,,,,,,I'm a Man - 2002 Remaster,Chicago,spotify:track:2qQYmjXYPmFPGzuIHeVWar,spotify:artist:3iDD7bnsjL9J4fO298r0L0,spotify:album:4DjSI3qiOKsUlZo4NsgYFq,0.000596,0.55,0.947,0.0177,0.0999,-6.983,0.0735,127.609,0.61,43.0
I'm So Excited,The Pointer Sisters,1984,,1108.0,1150.0,1130.0,1333.0,1248.0,1465.0,1397.0,1693.0,1412.0,,,,,,,,,,,,I'm So Excited,The Pointer Sisters,spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,spotify:artist:2kreKea2n96dXjcyAU9j5N,spotify:album:4iqsNkST0v1aaL3S0Fd4XS,0.0962,0.59,0.868,0.000322,0.442,-5.832,0.048,184.348,0.798,67.0
Man Without A Heart,The Hollies,1970,,1112.0,,,,,,,,,,,,,,,,,,,,Man Without A Heart,The Hollies,spotify:track:412sBlKfQDz8QDJPLCYd2d,spotify:artist:6waa8mKu91GjzD4NlONlNJ,spotify:album:5C9mEhQ9JX6HOY5CvhMdgO,0.458,0.52,0.639,0.0,0.518,-10.633,0.0295,132.789,0.884,1.0
New York Mining Disaster 1941,Bee Gees,1967,,1115.0,552.0,1035.0,1167.0,1302.0,1279.0,1477.0,1320.0,1283.0,1703.0,1478.0,1730.0,,,,,,,,,New York Mining Disaster 1941,Bee Gees,spotify:track:1WvEr42lxz4P06DlIuYdmr,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,spotify:album:2ESenDgBlvBFn6G1SfVZIw,0.581,0.446,0.237,0.0,0.0889,-13.42,0.0761,89.142,0.475,47.0
Rock 'n Roll,The Cats,1974,,1116.0,1159.0,1232.0,1253.0,882.0,745.0,743.0,677.0,770.0,882.0,886.0,1108.0,1558.0,1658.0,1721.0,,,,,,Rock 'N' Roll (I Gave You The Best Years Of My Life),The Cats,spotify:track:2EA15H6i2k7rJoZJ7RpS4A,spotify:artist:4mplweFSgMgpH03ruEMEMv,spotify:album:5WfnRU3MOg9GKI567WE772,0.44,0.357,0.517,0.0283,0.0732,-10.548,0.0422,95.966,0.516,41.0
Rosalyn,Vitesse,1982,,1117.0,,1019.0,1119.0,1449.0,1141.0,1123.0,1310.0,1228.0,1827.0,1689.0,1562.0,1598.0,1560.0,1438.0,1546.0,1497.0,1509.0,1934.0,1763.0,Rosalyn,Vitesse,spotify:track:6uhlalfG4T4MBSoiOdq2eh,spotify:artist:3E2fFjj2exI7FBNE8bxkXG,spotify:album:3tIhh3X3x9Nu2ySwLoVQ2k,0.0125,0.491,0.512,0.131,0.0674,-13.044,0.0622,101.999,0.665,38.0
Pied Piper,Crispian St. Peters,1966,,1119.0,1660.0,1656.0,1602.0,1517.0,1812.0,1969.0,,1913.0,,,,,,,,,,,,The Pied Piper,Crispian St. Peters,spotify:track:7ufnFt3fA9Ut2K0DILUZ34,spotify:artist:3Y9xnCbmXGhmpJymwpnxCz,spotify:album:4cS7vXLijr2jvuyRbsviKn,0.112,0.692,0.734,0.0,0.164,-7.089,0.0465,125.436,0.963,40.0
Ring My Bell,Anita Ward,1979,,1120.0,1802.0,,,,,,,,,,,,,,,,,,,Ring My Bell,Anita Ward,spotify:track:7GK2KVYH8FrTC9zehmjVMd,spotify:artist:3Dd6jD1AApgtNoU6SJWR7P,spotify:album:5G7Hry7SFLrdsvPu12EUyV,0.0661,0.781,0.556,0.0907,0.0339,-13.067,0.0611,125.999,0.968,59.0
Will You,Hazel O'Connor,1981,,1126.0,1229.0,,,,,,,,1776.0,1850.0,1986.0,1842.0,1903.0,,,,,,,Will You,Hazel O'Connor,spotify:track:4pJwMcJZRyGetDNukpthQg,spotify:artist:7Dwkme6QjRdS4dF4eNNJ5Y,spotify:album:2zp5rNt2y8eW6IOgInb889,0.331,0.481,0.576,1.29e-05,0.163,-6.556,0.0305,112.273,0.294,10.0
I Got You Babe,Sonny & Cher,1965,,1136.0,1379.0,1429.0,1493.0,1138.0,1645.0,1476.0,1949.0,1533.0,1971.0,1950.0,,,,,,,,,,I Got You Babe,Sonny & Cher,spotify:track:4SGBuq37Ol4HJr7pQqFMKa,spotify:artist:71lGEtP9qYXDsSXjfexTqO,spotify:album:4VFnAIRrYMA3iEHpjNP5cH,0.136,0.629,0.795,5.44e-06,0.132,-6.02,0.0278,110.583,0.6,63.0
Sweet Jane,Lou Reed,1974,,1138.0,,1810.0,1764.0,1188.0,921.0,1872.0,1832.0,1554.0,1895.0,1786.0,1290.0,1241.0,731.0,1059.0,1339.0,1594.0,1672.0,1838.0,1899.0,Intro / Sweet Jane - Live [1973 Version],Lou Reed,spotify:track:5vtXtPjH9NBC79ZOuTHYrF,spotify:artist:42TFhl7WlMRXiNqzSrnzPL,spotify:album:7ibv6MJHfkq0al0QRmoCd6,0.0621,0.381,0.783,0.482,0.18,-7.27,0.0709,111.059,0.694,41.0
Love Is A Stranger,Eurythmics,1983,,1142.0,1420.0,1307.0,1338.0,1283.0,1499.0,1810.0,1900.0,1600.0,1799.0,1747.0,1868.0,1980.0,1883.0,,,,,,,Love Is A Stranger - Remastered Version,Eurythmics,spotify:track:2jItmTTkIL6SkvABXsTaYT,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,spotify:album:5jNDWA19BJbE24x1UUJGRY,0.00761,0.781,0.647,0.0,0.132,-8.216,0.0264,121.93,0.551,49.0
Too Much Heaven,Bee Gees,1978,,1152.0,,,1627.0,1901.0,1977.0,1805.0,,1973.0,,,,,,,,,,,,Too Much Heaven,Bee Gees,spotify:track:6T5GTy1l6dRmagqpNPjdoc,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,spotify:album:6bddpRTD2imtFdhXqr6MKm,0.44,0.495,0.439,8.88e-05,0.725,-13.212,0.0467,165.922,0.353,64.0
The Wild Boys,Duran Duran,1984,,1155.0,1210.0,1105.0,1206.0,1244.0,1745.0,1873.0,1977.0,1614.0,,,,,1931.0,,,,,,,The Wild Boys,Duran Duran,spotify:track:23M7cQkNJLiddeubvVgaQl,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,spotify:album:7xbWtTByfdMWFfxXmeFFl0,0.407,0.741,0.838,0.0,0.138,-7.622,0.0637,115.689,0.586,53.0
Wintertime,Kayak,1974,,1157.0,957.0,1092.0,1482.0,1341.0,1613.0,1590.0,,1779.0,902.0,1563.0,1235.0,1595.0,1647.0,1910.0,,,,,,Wintertime,Kayak,spotify:track:48nBt8HXbAi1ftKb0l9UrA,spotify:artist:3w34NmNWqcGYg85t7ALa2D,spotify:album:6I845iSbO5VJPDiQUEFCQK,0.121,0.553,0.386,0.0,0.0894,-8.269,0.0277,123.547,0.321,21.0
World,Bee Gees,1967,,1158.0,946.0,1589.0,1488.0,1595.0,1829.0,1727.0,1955.0,1687.0,1979.0,1837.0,,,,,,,,,,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",Bee Gees,spotify:track:2xiOdusRnZezQok1RgLNeS,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,spotify:album:4V8z8vZUCyYUBlUI9CfSbY,0.0182,0.681,0.716,0.17,0.337,-10.911,0.0333,123.009,0.963,66.0
And I Love Her,The Beatles,1964,,1160.0,1144.0,1283.0,860.0,1163.0,1098.0,991.0,831.0,959.0,1199.0,1142.0,1118.0,1162.0,1424.0,1921.0,1716.0,1967.0,,,,And I Love Her - Remastered 2009,The Beatles,spotify:track:65vdMBskhx3akkG9vQlSH1,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:6wCttLq0ADzkPgtRnUihLV,0.64,0.767,0.331,0.0,0.0681,-10.777,0.0337,113.312,0.636,66.0
Be My Day,The Cats,1974,,1161.0,1465.0,1742.0,1553.0,1646.0,1825.0,1699.0,1675.0,1652.0,1550.0,1642.0,,,,,,,,,,Be My Day,The Cats,spotify:track:60baFCnBuaV6ORtBuURHjV,spotify:artist:4mplweFSgMgpH03ruEMEMv,spotify:album:5WfnRU3MOg9GKI567WE772,0.113,0.624,0.606,0.0,0.261,-11.368,0.0342,121.411,0.947,46.0
Carrie,Europe,1987,,1163.0,1518.0,1757.0,,1989.0,1975.0,,,,,,,,,,,,,,,Carrie,Europe,spotify:track:29wJiSQcze8HEmxkUQykyp,spotify:artist:7Js6Lde8thlIHXggv2SCBz,spotify:album:5Jkd47JEaCU1g4DcGBnHm3,0.113,0.457,0.487,2.37e-06,0.358,-7.112,0.0266,136.596,0.139,69.0
Da Ya Think I'm Sexy,Rod Stewart,1978,,1164.0,1647.0,1523.0,,1789.0,,,,,,,,,,,,,,,,Da Ya Think I'm Sexy?,Rod Stewart,spotify:track:4z7maGZkAonDlXlwo8q69f,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,spotify:album:38tXOrjXUUfQWWV2DRwMio,0.0143,0.715,0.689,0.000192,0.111,-8.065,0.029,111.504,0.852,68.0
Dagen Dat Ik Je Vergeet,Kadanz,1989,,1165.0,,,,1843.0,,,,,,,,,,,,,,,,Dagen Dat Ik Je Vergeet,Kadanz,spotify:track:1Hp8EU9rrVmPqdJSzNn2gT,spotify:artist:0lLdgPTqtnrceMYQKlHmK0,spotify:album:7LaSZNlzrLxHs5mp4skmu9,0.319,0.66,0.348,1.14e-06,0.0425,-17.545,0.029,91.581,0.556,27.0
De Oude School,Don Quishocking,1974,,1166.0,1331.0,1815.0,,,,,,,,,,,,,,,,,,De oude school - Live,Don Quishocking,spotify:track:0XwCbKXrqXoaoP5SVw20zz,spotify:artist:7li7QZd7oUwSa4TArGbXPF,spotify:album:4ezFnz7iynFcCwrzgl2eDf,0.906,0.538,0.318,0.0,0.945,-13.725,0.231,115.455,0.567,12.0
Greased Lightning,John Travolta,1978,,1168.0,1500.0,1473.0,1735.0,1463.0,1711.0,1502.0,,1815.0,,,,,,,,,,,,Greased Lightning (Originally Performed By John Travolta) [Karaoke Version],Paris Music,spotify:track:2kp84D1EHFp4G9QAytor8J,spotify:artist:7iFUYe1KDzmMGlvCSbL6nw,spotify:album:1bwccBaEXxXCn5TkusDlPY,0.0287,0.622,0.814,0.14,0.101,-7.085,0.0743,159.838,0.721,0.0
I Could Easily Fall (In Love With You),Cliff Richard,1960,,1173.0,1728.0,,1867.0,1960.0,,,,,,,,,,,,,,,,I Could Easily Fall (In Love with You),Cliff Richard,spotify:track:7dImTxeVCV7f5vHa2q7REK,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,spotify:album:0SW33rIKZ2v0EmfqRLKufz,0.838,0.337,0.504,0.0,0.183,-10.082,0.0305,151.356,0.785,23.0
Magic Forest,Fat Matress,1969,,1181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Ever Changing Moods,Style Council,1984,,1183.0,1198.0,1335.0,1212.0,1143.0,1309.0,1508.0,1376.0,1341.0,1290.0,1561.0,1581.0,1614.0,1474.0,1589.0,,,,,,My Ever Changing Moods,The Style Council,spotify:track:4vk81xgPsTv0auIZh0cvGK,spotify:artist:3loflELg7MzgrOyNqERolN,spotify:album:22OXpzLJTAeZus7DVZmIds,0.859,0.54,0.413,1.32e-06,0.106,-8.277,0.0283,127.205,0.436,49.0
No More Heroes,The Stranglers,1978,,1185.0,1137.0,894.0,1243.0,1220.0,1673.0,1431.0,1879.0,1459.0,1806.0,1908.0,1796.0,1806.0,1661.0,,,,,,,No More Heroes - 1996 Remaster,The Stranglers,spotify:track:3A6Ty55vQ1NC06EiB1fi9z,spotify:artist:0RUEHcBiENFEqxgicqS2ig,spotify:album:4WsDFcdDl3UU9ztRmyxQQ4,0.000109,0.293,0.933,0.145,0.336,-8.082,0.0701,150.994,0.837,50.0
Rock Me Amadeus,Falco,1986,,1188.0,1045.0,1033.0,1986.0,1660.0,1631.0,1667.0,,1848.0,,,1814.0,1760.0,1704.0,1744.0,1707.0,,,,,Rock Me Amadeus - The Gold Mix,Falco,spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU,spotify:artist:0hLd40hVpRDGENe4KGZLnW,spotify:album:4shdkbv0jIstZhSrpMR9wh,0.296,0.61,0.817,0.00336,0.0884,-9.45,0.133,176.737,0.889,59.0
Sarah Smiles,Bram Tchaikovsky,1978,,1190.0,1154.0,,,,,,,,,,,,,,,,,,,Sarah Smiles,Bram Tchaikovsky,spotify:track:5xrVCD2mw0IyRUltsxuchR,spotify:artist:0typb8qieEFeIgmQ4K03qZ,spotify:album:3aa2RkYs8cNnfDrunsuUuA,0.0738,0.401,0.707,0.0105,0.0868,-8.931,0.0409,78.37,0.737,3.0
Versailles,White Soxx,1981,,1196.0,766.0,736.0,713.0,858.0,873.0,1187.0,1005.0,932.0,1337.0,1311.0,1536.0,1314.0,1439.0,1558.0,,,,,,,,,,,,,,,,,,,,
You Are My Love,Liverpool Express,1976,,1200.0,1351.0,1501.0,1657.0,1956.0,,,,,,,,,,,,,,,,You Are My Love,Liverpool Express,spotify:track:1whGflr3hrSFDDIyirSnEI,spotify:artist:5MHQO0sz5J0VX7jjuL2dUg,spotify:album:2MS0DZAFIzOMejUL66j4g1,0.788,0.341,0.492,0.0168,0.183,-8.459,0.0313,83.364,0.276,34.0
Alabama,Neil Young,1972,,1201.0,1386.0,1189.0,1218.0,1019.0,1169.0,1106.0,1203.0,1147.0,1294.0,1312.0,1539.0,1074.0,1298.0,1683.0,,,,,,Alabama - 2009 Remaster,Neil Young,spotify:track:6PVa4pTYFPv2Sew9wLoyrz,spotify:artist:6v8FB84lnmJs434UJf2Mrm,spotify:album:2l3QxNo4QubBNmVKxLeum0,0.566,0.429,0.472,0.00402,0.152,-13.08,0.0347,147.501,0.378,47.0
Crying,Don McLean,1980,,1205.0,1517.0,1841.0,1475.0,1755.0,1665.0,1809.0,1898.0,1707.0,,,,,,,,,,,,Crying,Don McLean,spotify:track:22sPnamdNWoRyMQ84U53WG,spotify:artist:1gRNBaI4yn6wCCTvRhGWh8,spotify:album:6vvTYOCs7EoGxb9T6qZfYn,0.527,0.328,0.391,3.76e-05,0.0671,-11.382,0.0289,145.31,0.227,45.0
Feeling Stronger Every Day,Chicago,1973,,1207.0,1047.0,1320.0,1629.0,1554.0,1779.0,1940.0,,1889.0,1920.0,1887.0,,,,,,,,,,Feelin' Stronger Every Day - 2002 Remaster,Chicago,spotify:track:3hfqqSWS52Vucr4S0mLqUN,spotify:artist:3iDD7bnsjL9J4fO298r0L0,spotify:album:1GFLP3fsozSH4uBKA4oDYM,0.00946,0.375,0.878,0.0091,0.279,-6.099,0.0649,159.833,0.667,45.0
I Think I Love You,Partridge Family,1970,,1215.0,1556.0,1097.0,1041.0,1798.0,1835.0,1645.0,,1817.0,1820.0,,,,,,,,,,,I Think I Love You,The Partridge Family,spotify:track:22vqiTM3mI3r4P1P2N4qUi,spotify:artist:7u1mqP3ykglpCB2c1p1p5I,spotify:album:6JjahSxJ7dkWPFmvaRaX87,0.236,0.413,0.6,0.0,0.0457,-9.096,0.0412,204.692,0.725,51.0
I'll Never Drink Again,Alexander Curly,1972,,1217.0,943.0,1263.0,1469.0,1123.0,1539.0,1842.0,1211.0,1401.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Magical Mystery Tour,The Beatles,1967,,1219.0,1368.0,1258.0,1723.0,1713.0,1872.0,1726.0,1786.0,1691.0,1694.0,1670.0,1820.0,1977.0,1882.0,,,,,,,Strawberry Fields Forever - Remastered 2009,The Beatles,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:2BtE7qm1qzM80p9vLSiXkj,0.336,0.39,0.502,0.000138,0.0713,-12.277,0.178,97.871,0.289,68.0
The Look,Roxette,1989,,1227.0,,1481.0,1088.0,1404.0,1572.0,1920.0,1932.0,1650.0,,,,,,,,,,,,The Look,Roxette,spotify:track:0ZfM5XfJTtFPhOxAERRnNY,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,spotify:album:1iI5YZkqNUV7VmrEi4uOP9,0.0531,0.634,0.838,8.34e-06,0.0522,-5.363,0.0413,95.011,0.541,70.0
Till The End Of The Day,The Kinks,1965,,1229.0,1573.0,1626.0,,1774.0,,1902.0,,,,,,,,,,,,,,Till the End of the Day - Mono Mix,The Kinks,spotify:track:014NOunS25K1LbcM6DlQ5I,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,spotify:album:6CkUizIuE5xqy2MwfkbsCM,0.526,0.542,0.929,0.00597,0.125,-7.066,0.0784,140.8,0.793,37.0
Too Shy,Kajagoogoo,1983,,1230.0,1698.0,1515.0,1951.0,,,,,,,,,,,,,,,,,Too Shy,Kajagoogoo,spotify:track:6WEBIVqiEsevfgJefTyuQQ,spotify:artist:0f3kLT4wvi2mFHlHJgV8Hl,spotify:album:52koatNHePHRWEmmkP0z2Z,0.101,0.714,0.709,9.38e-05,0.0786,-11.067,0.0743,108.018,0.728,56.0
You Spin Me Round,Dead or Alive,1985,,1238.0,,1549.0,,,,,,,,,,,,,,,,,,You Spin Me Round (Like a Record),Dead Or Alive,spotify:track:7uHO4AmKtyGa5v5fsElGoC,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,spotify:album:6d5tBL8NLw1Jdhr8D2w3PF,0.0308,0.567,0.943,0.0966,0.544,-7.992,0.0387,128.207,0.965,70.0
Babooshka,Kate Bush,1980,,1245.0,,1321.0,1290.0,1267.0,1406.0,1433.0,1500.0,1413.0,1366.0,1422.0,1448.0,947.0,1396.0,1718.0,1726.0,1766.0,1940.0,1959.0,,Babooshka,Kate Bush,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,spotify:album:4MYtX4Kta7FL4NVUE0FYws,0.741,0.466,0.439,1.64e-05,0.0707,-8.892,0.0325,107.173,0.289,52.0
Embarrassment,Madness,1981,,1251.0,1705.0,1218.0,1476.0,1590.0,1981.0,,,,1517.0,1704.0,,1704.0,1624.0,1576.0,1699.0,,,,,Embarrassment,Madness,spotify:track:0PIqPVfz3fswMtSEeRWiWq,spotify:artist:4AYkFtEBnNnGuoo8HaHErd,spotify:album:5HkyBg5Hj4PanOXcWe9i49,0.11,0.467,0.825,0.0451,0.11,-4.847,0.0317,75.463,0.88,24.0
Everybody's Somebody's Fool,Connie Francis,1960,,1252.0,,1890.0,1294.0,1616.0,1156.0,,1992.0,1857.0,,,,,,,,,,,,Everybody's Somebody's Fool,Connie Francis,spotify:track:0d8FE2qM1lDEv5TI8VuivT,spotify:artist:3EY5DxGdy7x4GelivOjS2Q,spotify:album:4bcUfInkGpIdxy530XJFaZ,0.746,0.582,0.591,1.44e-06,0.169,-9.623,0.028,84.201,0.847,33.0
Fame,David Bowie,1975,,1253.0,1179.0,1292.0,1477.0,1287.0,1576.0,1811.0,,1812.0,1774.0,1627.0,1861.0,1578.0,1582.0,1301.0,1803.0,961.0,1323.0,1645.0,1686.0,Fame - 2016 Remaster,David Bowie,spotify:track:1PehfITh0TTRx3LkDdV4h3,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,spotify:album:0lITGovWgaQGi42EfqcE5P,0.454,0.786,0.555,0.0173,0.0826,-10.276,0.0471,95.1,0.673,58.0
Father Of Day Father Of Night,Manfred Mann's Earth band,1973,,1254.0,,,,,,,,,,,,,,,,,,,,"Father Of Day, Father Of Night",Manfred Mann's Earth Band,spotify:track:1I1o33PYLrHaIP64WJJ4SP,spotify:artist:2utNxkLhreF1oIfO8kQT3q,spotify:album:4x1Iy7CkrY7JI0DVdww9nt,0.173,0.31,0.427,0.00597,0.0217,-12.028,0.0394,120.728,0.0644,22.0
Guitar King,Hank Knife & Jets,1975,,1260.0,1606.0,1774.0,1714.0,,1898.0,1325.0,1654.0,1728.0,,,,,1771.0,,,,,,,Guitar King,Hank The Knife And The Jets,spotify:track:5o9qearaY5TvQ2cwCx3eMU,spotify:artist:0xE4WKw4GFrXXcWzB3iPcw,spotify:album:0C9QsYI5p3i1OgKB8vx4HE,0.0811,0.569,0.955,0.141,0.163,-8.787,0.079,103.128,0.577,32.0
Holiday,Bee Gees,1967,,1261.0,1419.0,1755.0,1853.0,1905.0,,,1909.0,,,,,,,,,,,,,Holiday,Bee Gees,spotify:track:4SyA5GahcFVbJEcDooBybR,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,spotify:album:2ESenDgBlvBFn6G1SfVZIw,0.921,0.5,0.145,0.0,0.0857,-14.169,0.03,104.713,0.197,47.0
Harborlight,Windjammer,1977,,1262.0,1158.0,1341.0,1803.0,1669.0,1659.0,1975.0,1739.0,1701.0,,,,,,,,,,,,,,,,,,,,,,,,,,
I've Been Loving You Too Long,Otis Redding,1965,,1264.0,1306.0,1348.0,1086.0,1181.0,1025.0,1108.0,1129.0,1127.0,976.0,901.0,946.0,860.0,1016.0,1064.0,1441.0,1846.0,1748.0,,,I've Been Loving You Too Long,Otis Redding,spotify:track:4pdLyulbYLCrPmDzWWeJIZ,spotify:artist:60df5JBRRPcnSpsIMxxwQm,spotify:album:68BCjMsHX4Gf11BJSkjwGz,0.7,0.499,0.246,0.00227,0.0965,-12.806,0.0325,148.468,0.152,58.0
If I Can't Have You,Yvonne Elliman,1978,,1265.0,1224.0,1687.0,1868.0,1441.0,1637.0,1993.0,,1906.0,,1948.0,,,,,,,,,,If I Can't Have You,Yvonne Elliman,spotify:track:0QjPiq9Wka9I1b4uzWETYI,spotify:artist:2d6JU9LvNhZR7AAtu4x2rS,spotify:album:0AzxFeB4qg0FXpmXTDuyDj,0.102,0.616,0.681,1.47e-06,0.296,-10.773,0.0416,109.454,0.811,51.0
If There's Something,Roxy Music,1972,,1267.0,,,,1190.0,1321.0,1230.0,1198.0,1443.0,1325.0,1222.0,1386.0,1310.0,1232.0,1198.0,1425.0,1825.0,1718.0,,,If There Is Something,Roxy Music,spotify:track:5XW47WwVu7vgP4cNcMEqWZ,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo,spotify:album:4KjUgJn22cmBRQC0AHcjI3,0.00385,0.356,0.876,0.0367,0.261,-6.92,0.0744,78.813,0.586,44.0
Jambalaya,Carpenters,1974,,1272.0,1454.0,1397.0,1642.0,1654.0,1520.0,1597.0,1569.0,1567.0,1835.0,1711.0,,,,,,,,,,Jambalaya (On The Bayou),Carpenters,spotify:track:3Qjk2QFaqhXLRLuFanoKmM,spotify:artist:1eEfMU2AhEo7XnKgL7c304,spotify:album:0A7WaXRUZ2fkHtUYfeoF73,0.747,0.617,0.457,0.000318,0.0716,-14.187,0.072,97.698,0.819,46.0
Kodachrome,Paul Simon,1973,,1273.0,700.0,1243.0,1491.0,1608.0,1726.0,1656.0,1861.0,1618.0,1723.0,1630.0,1793.0,1816.0,1689.0,1981.0,,,,,,Kodachrome,Paul Simon,spotify:track:3f0U5NaD1bCk8nmKpn2ZJY,spotify:artist:2CvCyf1gEVhI0mX6aFXmVI,spotify:album:50pzpI17hwQj7LKcOiLMFD,0.0291,0.592,0.705,1.97e-05,0.0456,-10.276,0.0287,135.754,0.902,60.0
Le Printemps,Michel Fugain,1977,,1274.0,1550.0,1226.0,1678.0,1477.0,1115.0,867.0,1603.0,1212.0,1628.0,1491.0,1554.0,1567.0,1894.0,,,,,,,,,,,,,,,,,,,,,
I'll Never Be Maria Magdalena,Sandra,1985,,1277.0,,,,,,,,,,,,,,,,,,,,(I'll Never Be) Maria Magdalena - Single Verison,Sandra,spotify:track:7LNP6YNYDeMgBeG4JBfAdq,spotify:artist:646StQO8yxIiI3niu1OHnG,spotify:album:3hfGA48qunf7KofX40XEVc,0.0992,0.613,0.559,0.0205,0.314,-14.127,0.0268,104.1,0.772,55.0
No Reply,The Beatles,1965,,1280.0,1318.0,151.0,1383.0,1515.0,1616.0,1556.0,1473.0,1271.0,1919.0,1972.0,,,,,,,,,,No Reply - Remastered 2009,The Beatles,spotify:track:4ltC6PrqkTtpcRNi5lvS4z,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:1vANZV20H5B4Fk6yf7Ot9a,0.67,0.718,0.593,0.0,0.172,-9.976,0.0377,124.251,0.869,58.0
Patsy,Rein de Vries,1965,,1284.0,1425.0,1385.0,999.0,1261.0,1158.0,1178.0,1366.0,1213.0,1507.0,1546.0,1534.0,1907.0,1642.0,1714.0,,,,,,Patsy,Rein De Vries,spotify:track:7n0TMYMGVcQ5QM8JHeCcWn,spotify:artist:6LO5LYNzTWhGB8xImFocbQ,spotify:album:2f4zB80YOuDAuJaC4qKUsD,0.798,0.571,0.17,0.0,0.115,-13.216,0.029,106.62,0.494,9.0
Tell Me (You're Coming Back),The Rolling Stones,1965,,1294.0,,1196.0,1396.0,1538.0,1552.0,1371.0,1535.0,1484.0,1901.0,1873.0,,,,,,,,,,Tell Me (You're Coming Back),Andrew Oldham Orchestra,spotify:track:0C2hA6HhmIT8B5MCQTntob,spotify:artist:3bT1LHMk4k4U4vGpVB17fQ,spotify:album:7IWy1SFM2ueJXMZiuullVe,0.2,0.279,0.729,0.913,0.121,-6.871,0.0379,85.953,0.354,8.0
Took A Long Time,Magna Carta,1976,,1297.0,,,,,,,,,,,,,,,,,,,,Took a long time,Magna Carta,spotify:track:2JgQnPNSNoIDTIj4qwDWyb,spotify:artist:01PgvweTVfI7QCumtQt3IB,spotify:album:6siZjmoLaUnXg1HBJOvRvX,0.538,0.602,0.61,1.7e-06,0.0533,-10.205,0.0258,138.058,0.735,7.0
Turn To Stone,Electric Light Orchestra,1977,,1298.0,954.0,1489.0,1255.0,1768.0,1598.0,1769.0,,1842.0,1794.0,1818.0,1999.0,1930.0,1941.0,,,,,,,Turn to Stone,Electric Light Orchestra,spotify:track:1Pd1h30mgU05QkWYhgFzwt,spotify:artist:7jefIIksOi1EazgRTfW2Pk,spotify:album:3usnShwygMXVZB4IV5dwnU,0.0686,0.548,0.72,0.000232,0.107,-9.777,0.0409,140.966,0.458,61.0
We Built This City,Starship,1985,,1301.0,1713.0,1577.0,,,,,,,,,,,,,,,,,,We Built This City,Starship,spotify:track:6OnfBiiSc9RGKiBKKtZXgQ,spotify:artist:0kObWap02DEg9EAJ3PBxzf,spotify:album:0YCraVqAWvJHiBYP2AXgV6,0.052,0.661,0.908,0.0,0.0708,-4.897,0.039,144.091,0.656,74.0
When You're Gone,Maggie MacNeal,1975,,1303.0,1302.0,1798.0,1885.0,,,,,,,,,,,,,,,,,When You’re Gone,Maggie MacNeal,spotify:track:4YkQGw5uBzjAOBb8c0UUe4,spotify:artist:5laYnD7lyJu5LNW0dlpyjP,spotify:album:0IZQcoQeMhU4lgdA4gvXkc,0.438,0.294,0.366,4.13e-06,0.08,-10.181,0.032,131.352,0.139,29.0
