2019,titel,artiest,jaar,id
651,Conquest Of Paradise,Vangelis,1995,5avVpUakfMHD6qGpaH26CF
652,Riddles,Kensington,2015,1QcwwjyRqLuuP2jt1hrjsG
653,Blowin' In The Wind,Bob Dylan,1963,18GiV1BaXzPVYpp9rmOg0E
654,They Don't Care About Us,Michael Jackson,1996,3wuCCNCnBhJlwkIJTBZFiv
655,Under The Pressure,The War On Drugs,2014,45D0ixQWzXQOoU1S9aSnKk
656,Year Of The Cat,Al Stewart,1977,7MTX3vevnm41xuEoPxWT3j
657,Cloudbusting,Kate Bush,1985,5atQ2haKP5LT65WM0KUts3
658,Alone,Heart,1987,54b8qPFqYqIndfdxiLApea
659,Be My Number Two,Joe Jackson,1984,5UFBEYaigXPoScwPOK4Wft
660,Don't Fear The Reaper,Blue Öyster Cult,1976,5QTxFnGygVM4jFQiBovmRo
661,Jailhouse Rock,Elvis Presley,1957,4gphxUgq0JSFv2BCLhNDiE
662,Belgie,Het Goede Doel,1982,0otIFwtEKqrDBGb3cvLRu4
663,De Neus Umhoeg,Rowwen Hèze,1995,7EILaUlrFRwtvbuNqwHoOt
664,Amigo,Chef'Special,2016,3EgzTIZI6UlLMGrmRGiJ2C
665,Gravity,John Mayer,2006,3SktMqZmo3M9zbB7oKMIF7
666,Once In A Lifetime,Talking Heads,1981,38Ngied9rBORlAbLYNCl4k
667,Der Weg,Herbert Grönemeyer,2002,7AKqM1fV3UuVDvmfPlGqiU
668,Lyin' Eyes,Eagles,1975,5lQKRR3MdJLtAwNBiT8Cq0
669,Faith,George Michael,1987,0HEmnAUT8PHznIAAmVXqFJ
670,Red Red Wine,UB40,1983,4uOKFydzAejjSFqYbv1XPt
671,Don't Cry,Guns N' Roses,1991,2N2yrmodOnVF10mKvItC9P
672,How Deep Is Your Love,Bee Gees,1977,2JoZzpdeP2G6Csfdq5aLXP
673,Champagne Supernova,Oasis,1996,40bynawzslg9U7ACq07fAj
674,Morning Has Broken,Cat Stevens,1972,3BqqF8suAIzW8655yJfcvh
675,I Still Cry,Ilse DeLange,2000,2p46wFVZU0jx3kAiVb5ztI
676,So Long Marianne,Leonard Cohen,1968,14CsqOaDkOkrZ49UJLtuOJ
677,Runnin' With The Devil,Van Halen,1980,3KhF2YiNpJvGpfiCW45R6D
678,Father Figure,George Michael,1988,0L0T4tMAaGqLgIVj1MOj9t
679,American Idiot,Green Day,2004,6nTiIhLmQ3FWhvrGafw2zj
680,Iederene Hef Een Reden,Bökkers,2016,2ubBr4quWIhxwxgiLuXcAV
681,1999,Prince,1982,2H7PHVdQ3mXqEHXcvclTB0
682,Let It Happen,Tame Impala,2015,6kD1zYSJsfOi3OEBNzC48Y
683,Don't Stop,Fleetwood Mac,1977,3CPeWqqaHR0hmyfsWhMJQs
684,Niet Of Nooit Geweest,Acda & De Munnik,1998,4439gDsZasiXC4mGpw6yJc
685,(Everything I Do) I Do It For You,Bryan Adams,1991,6eBK3edMW7bEzecF1eCezc
686,New Kid In Town,Eagles,1977,6Zyz8lsnMFpIrCTuvGurCB
687,Everything Now,Arcade Fire,2017,7KsZHCfOitA5V9oQYVdltG
688,Firth Of Fifth,Genesis,1973,6UpMG6BDOd5xecMTu5r3sj
689,Lea,The Cats,1968,5U4zGdqxaRftV0h4gVp897
690,You're My Best Friend,Queen,1976,49L5s7lTES5EVnyGO09H0S
691,Sorry,Nothing But Thieves,2017,6rAXHPd18PZ6W8m9EectzH
692,Zwart Wit,Frank Boeijen Groep,1984,34OjTz1ttUEq2iLGxjJ5s9
693,Sign O'The Times,Prince,1987,4Yenz5JZZOUiZSeyKY8bDz
694,Million Years Ago,Adele,2016,5VwSwu1zeiMGAjwe9nUmzZ
695,I Feel Love,Donna Summer,1977,7B7lf3sIze5VR2WuYttn18
696,Kom Terug,Spinvis,2012,27yPEFHnxg0jpWVn5vVkCm
697,The Turn Of A Friendly Card,The Alan Parsons Project,1980,4E6SMz8ioJ2jj8uQrULqWM
698,Teach Your Children,"Crosby, Stills, Nash & Young",1970,29HaKOpeLSYvqdFyEQSRdj
699,Bright Eyes,Art Garfunkel,1979,3Jy0dWV5AnnfyTvHK6UWof
700,Prachtig Mooie Dag,Daniël Lohues,2011,6U5q6Y2QctIGHJjo5zSXNf
701,Fly Me To The Moon,Frank Sinatra,1964,5b7OgznPJJr1vHNYGyvxau
702,Daughters,John Mayer,2005,5FPnjikbwlDMULCCCa6ZCJ
703,So Long,Fischer-Z,1980,3XAiXl3dKpG7b0qcrCtBD4
704,The Long And Winding Road,The Beatles,1970,3mlMpmY8oZIBFc39D9zLbh
705,One More Light,Linkin Park,2016,3xXBsjrbG1xQIm1xv1cKOt
706,9 Crimes,Damien Rice,2006,08YEGpKt2LHJ0URCXKHEie
707,The Best,Tina Turner,1989,2W2ieVidLIx9TDvxu0ZT6F
708,Through The Barricades,Spandau Ballet,1986,5ALQSecfsZLsWip5CZK9aN
709,Black Magic Woman,Santana,1970,4YMQXzscifAREG0a7KNGhB
710,Father And Son,Cat Stevens,1971,19slC7k8bsPOAKDjHYLU2W
711,Just A Little Bit Of Peace In My Heart,Golden Earrings,1968,5oZzQ1ZMxmJkXlCUDJ22qO
712,I Want You,Elvis Costello,1986,1VN8ew9KECPqYS3sVbnZRr
713,Wrong,Novastar,1999,2zB0elpbxtr3fp80Rj6HEX
714,One Way Wind,The Cats,1971,2TUGqSnkaIQylLanv1UWBr
715,Changes,2Pac,1998,1ofhfV90EnYhEr7Un2fWiv
716,Freedom! '90,George Michael,1990,3tyTt5pEWblt96j1HsXiV5
717,Jungleland,Bruce Springsteen,1975,3R2q3FCnNIw2XhuEbYtYk6
718,Where The Wild Roses Grow,Nick Cave & Kylie Minogue,1995,3OwtuzRo8mc7lgsBau9MWk
719,Not An Addict,K's Choice,1996,38TozZBUSqO5HA4ya6OxZr
720,Easy Livin',Uriah Heep,1973,6qn5Ysxo9H4z4QgEvwg1SK
721,Never Be Clever,Herman Brood & His Wild Romance,1979,0KLLN24yYlb7fsKvXjz3GI
722,All I Want For Christmas Is You,Mariah Carey,1994,0bYg9bo50gSsH3LtXe2SQn
723,Islands In The Stream,Kenny Rogers & Dolly Parton,1983,6dnco8haegnJYtylV26cBq
724,Ben,Michael Jackson,1972,0ZFqB9g2FujbmMSrjqsL3j
725,Firestarter,The Prodigy,1996,1GTPxha6U7x9ElVxkQw3OK
726,Dark Necessities,Red Hot Chili Peppers,2016,2oaK4JLVnmRGIO9ytBE1bt
727,Amsterdam,Nothing But Thieves,2017,454I78HEySdcHE8fcVabTb
728,Hald Mich 's Vas,Neet Oét Lottum,2004,20yjgzUpdqsYAMykkEWipE
729,Magic,Coldplay,2014,23khhseCLQqVMCIT1WMAns
730,Tunnel Of Love,Dire Straits,1980,06ku5BBS2HufqSDVkcSR15
731,Mooie Dag,Bløf,2002,0tWU6puNvcL3xTgWQxZ0DP
732,Layla,Derek & The Dominos,1971,2kkvB3RNRzwjFdGhaUA0tz
733,China Girl,David Bowie,1983,5Ei9o2fHEnfHb84YrPuz4v
734,Love Hurts,Nazareth,1976,1i5oEx2vFczQ2sCY3c6Kn5
735,In The Dutch Mountains,Nits,1987,7JLjdk1PX5LMBxM5zfYCQV
736,I Gotta Feeling,The Black Eyed Peas,2009,4vp2J1l5RD4gMZwGFLfRAu
737,Overcome,Live,2001,1789Nv2WZXHDuhwdZ0jqHZ
738,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2005,29EkMZmUNz1WsuzaMtVo1i
739,Something Just Like This,The Chainsmokers & Coldplay,2017,6RUKPb4LETWmmr3iAEQktW
740,Take The Long Way Home,Supertramp,1979,0v0XYK0pLgsPiq5u4FKHaw
741,Binnen Zonder Kloppen,De Dijk,1985,1du79pOKaLNpvokituBc79
742,Thunder,Imagine Dragons,2017,1zB4vmk8tFRmM9UULNzbLB
743,One Of These Days,Pink Floyd,1971,6uU0Hu8oVk9gBihokcrDMH
744,Mijn Houten Hart,De Poema's,1999,3KxBgn1DhmxhntSOJyduF0
745,Everglow,Coldplay,2015,5qfZRNjt2TkHEL12r3sDEU
746,Pompeii,Bastille,2013,3gbBpTdY8lnQwqxNCcf795
747,Owner Of A Lonely Heart,Yes,1983,0GTK6TesV108Jj5D3MHsYb
748,Go Like Elijah,Chi Coltrane,1973,2I9hmnH75Zg0WcbYe46GqJ
749,Walk On The Wild Side,Lou Reed,1973,5p3JunprHCxClJjOmcLV8G
750,Home Again,Kensington,2012,3z9soRCVJ3xP0Z000ZD4S9
751,Bicycle Race,Queen,1978,3lUx27TOwV2nAiKwnYYXxe
752,Tinseltown In The Rain,The Blue Nile,1984,5agxCIWiABK6l4ltmCAHoH
753,The Unforgiven II ,Metallica,1997,0IGXkVRn0uCsgn4FvIfpgB
754,The Passenger,Iggy Pop,1976,15BQ7vEDv2LJuh8TxWIhtd
755,Ironic,Alanis Morissette,1996,1d6KS9GH06JAd19uiBy9IE
756,Glory Days,Bruce Springsteen,1985,2Y90nL1ohB4sgYELDs7uNx
757,Smack My Bitch Up,The Prodigy,1997,3tehrxZR8eaANHov4cEctL
758,Happy New Year,ABBA,1980,7nvmxaLf5hq9ZDTIMME27m
759,Would,Alice in Chains,1992,5sFDReWLrZHLFZFjHsjUTS
760,Band On The Run,Paul McCartney & Wings,1974,1H4idkmruFoJBg1DvUv2tY
761,Never Tear Us Apart,INXS,1988,1qQSRy9DjrGh3jtsSCU6B1
762,You Can Call Me Al,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP
763,Zij,Marco Borsato,2002,1lyhJ4dMpxkT7pNqF1r7C6
764,Don't Dream It's Over,Crowded House,1987,0fiSpF9mvRFQWy0ca64d1g
765,Clint Eastwood,Gorillaz,2001,7yMiX7n9SBvadzox8T5jzT
766,Het Werd Zomer,Rob De Nijs,1977,5DYnXF9L2uaqQ4TEcR3Pop
767,Is Dit Nu Later,Stef Bos,1990,5VyCCtvZhg3JYhrl9Eqi0T
768,Sebastian,Cockney Rebel,1973,16889jRQ2uzOeDSHaMRLIw
769,I Alone,Live,1995,3LpnzPxkMI6XS4JCbhNeek
770,Memories,Maroon 5,2019,2b8fOow8UzyDFAE27YhOZM
771,Lippy Kids,Elbow,2011,6XMdcMr20yCzJF4Nk9UhjK
772,Nothing Rhymed,Gilbert O'Sullivan,1971,0dzCSfeyT5GqcgGDNRe6Mi
773,Real Men,Joe Jackson,1982,1iapX0xmx559Y8wVuXvz07
774,Here I Go Again,Whitesnake,1987,1qOU8KzFifXE9YrgjVwYvc
775,Land Of Confusion,Genesis,1986,6twIBPybEvGydyNzNz89FT
776,Nikita,Elton John,1985,3G0ENKW9vzV0SuYKaWFflI
777,I Follow Rivers,Triggerfinger,2012,6HUCDcXf4M59NBZ5EOtd5T
778,Beautiful Noise,Neil Diamond,1976,3twVQ7o8aw8SmAwqMcm1fZ
779,Liverpool Rain,Racoon,2012,6r9WpbFiXEfFZHlPJSKbSr
780,You'll Never Walk Alone,Gerry & The Pacemakers,1963,6catF1lDhNTjjGa2GxRQNN
781,You Know I'm No Good,Amy Winehouse,2007,4zQuwW24dweWcaX0fEJkP2
782,Empire State Of Mind,Jay-Z & Alicia Keys,2009,2igwFfvr1OAGX9SKDCPBwO
783,She's A Rainbow,The Rolling Stones,1967,6gKAjxAV0LvphJD1F54L9w
784,The Weight,The Band,1968,0P7DoyGrr4Wp9w5TotEtUC
785,Good Riddance (Time Of Your Life),Green Day,1997,6ORqU0bHbVCRjXm9AjyHyZ
786,De Bestemming,Marco Borsato,1998,58Dly59ph333sUlnuoepS0
787,Trapped (Live),Bruce Springsteen,1985,5xYCSEP2FWHMkVun6GIyDk
788,Black Or White,Michael Jackson,1991,7EsjkelQuoUlJXEw7SeVV4
789,Hallelujah,Lisa Lois,2009,0m86OeKQHxdpygDPzGQUPK
790,All I Want Is You,U2,1988,34sL4eaI8UKWOyYpCvoboU
791,Waves,Mr. Probz,2013,5Sf3GyLEAzJXxZ5mbCPXTu
792,Breakthru,Queen,1989,2HPvr5vD9rjbc0tejSmkkp
793,You Want It Darker,Leonard Cohen,2016,5zb7npjQqoJ7Kcpq4yD9qn
794,The Less I Know The Better,Tame Impala,2015,6K4t31amVTZDgR3sKmwUJJ
795,Liefde Van Later,Herman van Veen,1969,2FCDUD9CggViRYawuTbHaa
796,Miracle,Ilse DeLange,2009,2Fif2DQrGKhdGs2OqmCo4w
797,Friday I'm In Love,The Cure,1992,263aNAQCeFSWipk896byo6
798,Waterfront,Simple Minds,1983,3Mw3lZoplwJrVE5Qz7XRUx
799,Stand My Ground,Within Temptation,2004,15z9QEJOBV6hDdWsdZwDKP
800,Almost Cut My Hair,"Crosby, Stills, Nash & Young",1970,0gCJkpD0RhF2rjiALLHBQL
801,You Do Something To Me,Paul Weller,1995,2dINjMxChoALja13fOn99R
802,Come On Eileen,Dexy's Midnight Runners,1982,3MrWxJaD2AT0W9DjWF64Vm
803,What It Is,Mark Knopfler,2000,1RVZH0clK31T3qB4eZykLp
804,Resistance,Muse,2009,1C2QJNTmsTxCDBuIgai8QV
805,Take A Chance On Me,ABBA,1977,6vQN2a9QSgWcm74KEZYfDL
806,Little Wing,The Jimi Hendrix Experience,1967,1Eolhana7nKHYpcYpdVcT5
807,Everybody Wants To Rule The World,Tears for Fears,1985,4RvWPyQ5RL0ao9LPZeSouE
808,Need Your Love So Bad,Fleetwood Mac,1968,5kAmVEKmsztVbt4Mi22171
809,Follow You Follow Me,Genesis,1978,6gyU6PaPpzTCUYzZcVICwk
810,Unchain My Heart,Joe Cocker,1987,6oyYKWTbYt5Zb8tIiLZbmH
811,Down Down,Status Quo,1975,392fAyNRrQ88tGjenLbfZv
812,Give A Little Bit,Supertramp,1977,6XUHsYE38CEbYunT983O9G
813,Non Je Ne Regrette Rien,Édith Piaf,1961,3dkIE8P7hvl3tHl9KSb6dA
814,Bad Liar,Imagine Dragons,2018,2RSHsoi04658QL5xgQVov3
815,Afscheid Nemen Bestaat Niet,Marco Borsato,2003,4ilTfXGqDvV12IdAogVqZk
816,Life's What You Make It,Talk Talk,1985,2iWTHXaFtRSMhd5OLpYD7f
817,Every Little Thing She Does Is Magic,The Police,1981,44aTAUBF0g6sMkMNE8I5kd
818,"Ain't Got No, I Got Life (Original)",Nina Simone,1968,269L60ovruUiDOmHXbxAy6
819,Tubular Bells,Mike Oldfield,1974,7ERSQrRptZVM7q3VOdM7OL
820,There Is a Light That Never Goes Out,The Smiths,1986,0WQiDwKJclirSYG9v5tayI
821,Candle In The Wind '97,Elton John,1997,0P5vVASbVxf54XSUY1WCMq
822,Sailing,Rod Stewart,1975,6OuRbvP4PgbuzBIapVzmFJ
823,Sound And Vision,David Bowie,1977,1vP2JEXRsGrFbwOZ0foOQ5
824,Sailing To Philadelphia,Mark Knopfler,2000,5ti5SeraA9Ci7OtbLhEkz2
825,It's My Life,Talk Talk,1984,4jhsuQCUCJKA5f0bXb6XdJ
826,Eye Of The Tiger,Survivor,1982,2KH16WveTQWT6KOG9Rg6e2
827,Sabotage,Beastie Boys,1994,0Puj4YlTm6xNzDDADXHMI9
828,'39,Queen,1975,0kIpcu3DQacQObHVyra9Jx
829,Bridges,Kensington,2017,2T5ihhffxmrgqePASag6E2
830,Time Is Running Out,Muse,2003,2takcwOaAZWiXQijPHIx7B
831,Shape Of My Heart,Sting,1993,6CKoWCWAqEVWVjpeoJXyNH
832,Photograph,Ed Sheeran,2015,1HNkqx9Ahdgi1Ixy2xkKkL
833,Take Me Out,Franz Ferdinand,2003,6ooluO7DiEhI1zmK94nRCM
834,Flink Zijn,Robert Long,1977,
835,In Nije Dei,De Kast,1997,0M7N866lTEPVt22pNb4ngO
836,Like A Prayer,Madonna,1989,1z3ugFmUKoCzGsI6jdY4Ci
837,Breakfast In America,Supertramp,1979,4a5pNRjwmzYQuEY1E7O6pj
838,Norwegian Wood,The Beatles,1965,1H7gMYGykdtwZOV6s1N0by
839,Can't Stop Loving You,Phil Collins,2002,2W6PNGCN4PGwPMf1jYazL4
840,Help,The Beatles,1965,7DD7eSuYSC5xk2ArU62esN
841,Venus,Shocking Blue,1969,0Z3xhSOhrawLV81YdiDiiJ
842,Both Sides Now,Joni Mitchell,1968,1pjATX7sbd6Y4jMVqIvzHk
843,Ashes To Ashes,David Bowie,1980,37CRPk0L5ZpfPeePEPwE0t
844,Sharp Dressed Man,ZZ Top,1985,1UBQ5GK8JaQjm5VbkBZY66
845,Blauwe Ruis,Bløf,2002,4aD91hwL7q6GYCqiVFmqIl
846,Self Esteem,Offspring,1995,6EsBn1Md8C5YdbCzvwvZq8
847,Brown Sugar,The Rolling Stones,1971,61UuPxxYUvacEH6SHIK3sU
848,Bloasmuziek,Gé Reinders,1999,630IU8ZJ65Ck5nWlQWj9Q8
849,Can't Stop,Red Hot Chili Peppers,2002,3ZOEytgrvLwQaqXreDs2Jx
850,Lemon Tree,Fools Garden,1996,4fXGWiVhlOLdhwRDP6pIFG
851,Human,The Killers,2008,1sTsuZTdANkiFd7T34H3nb
852,Start Me Up,The Rolling Stones,1981,7HKez549fwJQDzx3zLjHKC
853,Never Gonna Give You Up,Rick Astley,1987,7GhIk7Il098yCjg4BQjzvb
854,So Lonely,The Police,1979,2wnsBaxrmkthIFAm6vqCuX
855,You Give Love A Bad Name,Bon Jovi,1986,0rmGAIH9LNJewFw7nKzZnc
856,Stand By Me,Ben E. King,1987,3SdTKo2uVsxFblQjpScoHy
857,The Fool On The Hill,The Beatles,1967,6rHh8urosEFRI67xVa6fzU
858,If You Leave Me Now,Chicago,1976,0KMGxYKeUzK9wc5DZCt3HT
859,Voodoo Child (Slight Return),The Jimi Hendrix Experience,1968,2AxCeJ6PSsBYiTckM0HLY7
860,The Lady In Red,Chris de Burgh,1986,1GeNWyZtCHbcp3ZWp8GTOO
861,I Have A Dream,ABBA,1979,6Xibu53y8mquzUJL6HGEG2
862,Mr. Bojangles,Robbie Williams,2001,0aIXPVVZArfwTOrPYSOaa5
863,De Bom,Doe Maar,1982,3i2ZaFbGMZmerAEoVHvsmB
864,This Is The Life,Amy Macdonald,2008,3AI7ca5RpYLyqaVgU7K1AP
865,Foto Van Vroeger,Rob De Nijs,1980,3h9k4hZVdPWV9E3xQwZuKI
866,Ordinary Love,U2,2013,5K8cyMKcnG4rx5ocW3u7OW
867,Waiting On A Sunny Day,Bruce Springsteen,2003,1TEHRzhrlF6DwPWScfetsF
868,Daar Gaat Ze,Clouseau,1990,1pQcaYky2rRxSeUdZld9xk
869,Once Upon A Time In The West,Ennio Morricone,1976,0c89GbbUO3degznx9eYrq0
870,Let Me Entertain You,Robbie Williams,1998,76SFcrLi5d60pHrzfvSjsJ
871,Son Of A Preacher Man,Dusty Springfield,1968,7odHgoLFi3GQ90E9PeraI3
872,Our House,Madness,1982,1qV6e4ITnfGmA6m6Vklvbi
873,I Will Survive,Gloria Gaynor,1979,7cv28LXcjAC3GsXbUvXKbX
874,People Are Strange,The Doors,1967,1Jmqubf9kGkWeYQXQKImL5
875,Wild is the Wind,David Bowie,1976,7ynwkFhXbrQqnMIWqFfRUS
876,Mooi,Marco Borsato,2015,7DBafN97VFAJjm3sMev3KG
877,Song 2,Blur,1997,1FTSo4v6BOZH9QxKc3MbVM
878,Trouble,Coldplay,2000,0R8P9KfGJCDULmlEoBagcO
879,Weak,Skunk Anansie,1995,4LmQodL0Hf4aiBs1UMaPDe
880,Spread Your Wings,Queen,1978,6hvFXQ9Kmsabx520Xlu5rK
881,Motorcycle Emptiness,Manic Street Preachers,1992,61dhQ6Mc3H66zxx1hBdeoI
882,Heaven,Bryan Adams,1985,7Ewz6bJ97vUqk5HdkvguFQ
883,Sammy,Ramses Shaffy,1966,2eSbyJnaflVxnOieP11eYz
884,High Hopes,Panic! At the Disco,2018,1rqqCSm0Qe4I9rUvWncaom
885,Tie Your Mother Down,Queen,1977,6K8gEgGkOyD1wFY3kAcyOy
886,All For Nothing,Kensington,2014,5uC8a9FxdqJ59XHjzdibCf
887,Titanium,David Guetta & Sia,2011,4X54FzF8cMJVMdMTpg79zE
888,One Of Us,ABBA,1981,40IHflbrHcOuC8ZcYxUSAC
889,That's Life,Frank Sinatra,1966,4FmCUATNIarCQh72JYdvnm
890,A Gentleman's Excuse Me,Fish,1990,4iP8ucwdavRZLeimIcwuGS
891,Take This Waltz,Leonard Cohen,1988,4QbvmYYVLl8LNUsOXstLft
892,Kristallnach,BAP,1983,2aZsp1KAJLMOaW2socza14
893,Winter,Tori Amos,1992,11dfOCV0oBxzZ9fi2PZhvS
894,Dani California,Red Hot Chili Peppers,2006,10Nmj3JCNoMeBQ87uw5j8k
895,No Surprises,Radiohead,1997,1bSpwPhAxZwlR2enJJsv7U
896,Stressed Out,Twenty One Pilots,2016,3CRDbSIZ4r5MsZ0YwxuEkn
897,Man On The Moon,R.E.M.,1992,4jLv3tDBu8ww2R07DvL12s
898,Denis,Blondie,1978,3RIpoyYHjSTJtwoi5yHW1E
899,El Condor Pasa (If I Could),Simon & Garfunkel,1970,1eN42Q7IWRzRBq8eW2Y2TE
900,Use Somebody,Kings of Leon,2008,5VGlqQANWDKJFl0MBG3sg2
901,No More Tears,Ozzy Osbourne,1990,7w6PJe5KBPyvuRYxFkPssC
902,Fernando,ABBA,1975,1IxDBsZdVMhfkLqrZjARpk
903,Where Is The Love,The Black Eyed Peas,2003,3CNqo3gYrfexdrtjFmC9he
904,Road Trippin',Red Hot Chili Peppers,2000,7Gpr3kKk4BMgItz6UbI73q
905,You,Ten Sharp,1991,6lbme14HiDWYmGiw1I2Dv6
906,Russians,Sting,1985,0MBYW7CcBJmsY3HTP05VQg
907,Girl,Anouk,2004,5zhee6Apgg8QqeJObO4k1d
908,Moonlight Shadow,Mike Oldfield & Maggie Reilly,1983,4WpmwEdc4RBos8W8icSSxW
909,Musica E,Eros Ramazzotti,1989,0iBOLnepgpMhH4NinExjCn
910,Could You Be Loved,Bob Marley & The Wailers,1980,5O4erNlJ74PIF6kGol1ZrC
911,One Vision,Queen,1985,0xzhryP1AoHUazYdJ5rj3B
912,Pinball Wizard,The Who,1969,6LbbHFEajG9e4m0G3L47c4
913,9 To 5,Dolly Parton,1981,4w3tQBXhn5345eUXDGBWZG
914,Anyplace Anywhere Anytime,Nena & Kim Wilde,2003,03lVH8AlfGRaE4qmkUCVQB
915,Jesus He Knows Me,Genesis,1992,0YN4BbP8czMk6QiL62qnWT
916,Yesterday When I Was Young,Charles Aznavour,1970,5YLYgvlpbz64nmqF5E0kXo
917,Knowing Me Knowing You,ABBA,1977,46ou4l4zvrZMada0TgoVH9
918,Tranen Gelachen,Guus Meeuwis,2007,7cBDXLHuTYmY63gEh04UhX
919,Faster,Within Temptation,2011,5oX5jpeZsXBWEheqE0qqqD
920,Diamonds On The Soles Of Her Shoes,Paul Simon,1986,71GvlH0VdeClloLIkHrAVu
921,Waiting On A Friend,The Rolling Stones,1981,4Wd9pEtEnZNDjgiswGOpJb
922,The Wind Cries Mary,The Jimi Hendrix Experience,1967,5H6Jp0syB5yEPk7SWYdlmk
923,Heal The World,Michael Jackson,1992,7woW97CfcWaKtuC6W5BP2K
924,How You Remind Me,Nickelback,2001,0gmbgwZ8iqyMPmXefof8Yf
925,Personal Jesus,Depeche Mode,1990,1xShPgQbOUa98avWJQFDBY
926,De Kapitein Deel II,Acda & De Munnik,2000,3lhpOjOF3GZsjNFgMhHtgb
927,Drops Of Jupiter (Tell Me),Train,2001,3pohV2fcMvVYjV991V4fBf
928,Belle Helene,Doe Maar,1982,46LNQvIkDX7hs0M466DD6h
929,My Silver Lining,First Aid Kit,2014,5BkNCuxzzid0gz9sx3NNbX
930,One Word,Anouk,2005,4ZGfL4rKgXgelNgYHFaJoI
931,Marian,The Cats,1969,7bzhrRyCmhRQDXsUjdre8t
932,Zandloper,Typhoon,2014,4zhSfChynhB1mIneEVOr1l
933,Without Me,Eminem,2002,7lQ8MOhq6IN2w8EYcFNSUk
934,Het Land Van Maas En Waal,Boudewijn de Groot,1967,1rAO9SAULMHdzTC0w4UcEa
935,Droomland,Paul de Leeuw & Andre Hazes,1993,3hiURl5d4M3ihHWW8ZdvPS
936,Running To Stand Still,U2,1987,4MLPCRYNhDIKcRjzS54ceu
937,Dancing In The Street,David Bowie & Mick Jagger,1985,6FnuMo55jNECTDdS1nD5H0
938,Ordinary World,Duran Duran,1993,0wokCRaKD0zPNhMRXAgVsr
939,Disarm,The Smashing Pumpkins,1993,6YIggUJW3ttAAPRdnki8RM
940,Question,The Moody Blues,1970,4Q27I5G3W14hnYVi45oi2h
941,Raspberry Beret,Prince & The Revolution,1985,5jSz894ljfWE0IcHBSM39i
942,You're So Vain,Carly Simon,1973,2DnJjbjNTV9Nd5NOa1KGba
943,Mr. Jones,Counting Crows,1994,5DiXcVovI0FcY2s0icWWUu
944,Unchained Melody,The Righteous Brothers,1965,1jFhnVoJkcB4lf9tT0rSZS
945,Shotgun,George Ezra,2018,4ofwffwvvnbSkrMSCKQDaC
946,I Just Can't Help Believin',Elvis Presley,1971,0J6CARn5LFLUTpOhFtgwsa
947,Boogie Wonderland,"Earth, Wind & Fire",1979,6ztstiyZL6FXzh4aG46ZPD
948,Crime Of The Century,Supertramp,1974,6eRTxfsfpnddrm6wTtbjY8
949,The Family Tree,Venice,1999,5qxfB3e5ZjHYoNcMxPR2J7
950,Only Time,Enya,2000,6FLwmdmW77N1Pxb1aWsZmO
951,Ik Leef Niet Meer Voor Jou,Marco Borsato,1996,45I37gu7jG5JsXyqYm4YDT
952,Wat Zou Je Doen,Bløf,1998,7HYgvrejvflGfm5KCQGkUE
953,How You Gonna See Me Now,Alice Cooper,1979,0spN4UlSI0X6YSYCWpSzgz
954,Bestel Mar,Rowwen Hèze,1992,5xVltZELKMdfE6hOLrSc4V
955,Hometown Glory,Adele,2009,2qERBmbj9TrYbNDh9yWX9G
956,Thinking Of A Place,The War On Drugs,2017,4Sd5tbNP4q8wS64abqwfkN
957,Sgt. Peppers Lonely Hearts Club Band,The Beatles,1967,4fUKE8EULjQdHF4zb0M8FO
958,Gimme All Your Lovin',ZZ Top,1984,0OBwxFLu6Yj61s2OagYbgY
959,Suzie Q (part 1),Creedence Clearwater Revival,1968,3hKFVoAwxUQGySf3PtV9aE
960,What's Up,4 Non Blondes,1993,0jWgAnTrNZmOGmqgvHhZEm
961,No Mercy,Racoon,2011,5lKG3noDbcocnJl8r8tOOa
962,Als Het Vuur Gedoofd Is,Acda & De Munnik,1997,7aXYw09tC6MX0SUuKisoTn
963,Gangsta's Paradise,Coolio,1995,7lQWRAjyhTpCWFC0jmclT4
964,Johnny B. Goode,Chuck Berry,1958,2QfiRTz5Yc8DdShCxG1tB2
965,Heaven Must Be Missing An Angel,Tavares,1976,3ad1MVf3CUFCWW1EyMc9kk
966,On Every Street,Dire Straits,1991,7lX5thFFq1mEARXVPgJ1op
967,Tequila Sunrise,Eagles,1973,1WYokrkFOb9TFVuTrmxTTt
968,You've Got A Friend,Carole King,1971,7jNvvrEFtIQYnaukWx5ZSu
969,Lucy In The Sky With Diamonds,The Beatles,1967,25yQPHgC35WNnnOUqFhgVR
970,Peter Gunn Theme,"Emerson, Lake & Palmer",1980,1trnKvetd2m6s79wivDt9K
971,Fool To Cry,The Rolling Stones,1976,3T8dfE0azJUmXJA3QlmiZ5
972,Tears Dry On Their Own,Amy Winehouse,2007,6yLX8QnxlnEqZfs3YKCfjF
973,Home,Dotan,2014,6oC1XkMBkTwrvcz5UbQjsm
974,"You're The First, The Last, My Everything",Barry White,1974,6kOjNVGh1Gapc7224d20Ym
975,Boys Don't Cry,The Cure,1986,4dneV7C1yDt9UtyxrQY375
976,Chasing Pavements,Adele,2008,71WAtDcWVYMoCsblD2uQXx
977,Lavender,Marillion,1985,0fFotmAiRwLfpogfYs48PQ
