titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bad,Michael Jackson,1983,5lWFrW5T3JtxVCLDb7etPu,,1310,736,1313,1712,1467,1798,1551,,1807,439,965,1087,878,1063,1555,1360,1575,1590,968,1290
Wouldn't It Be Nice,Beach Boys,1966,4gySZmwNJcFvVUR0SaELUK,,1410,1792,1184,1437,1223,1630,1693,1400,1471,1299,1136,1106,1581,1305,1780,1914,1343,1185,1640,1862
Livin' Thing,Electric Light Orchestra,1976,2hdNya0b6Cc2YJ8IyaQIWp,,1507,747,1227,1181,1325,1403,1619,1852,1496,1485,1719,1236,1190,1407,1459,1150,1245,1220,1348,1371
Don't Stop 'til You Get Enough,Michael Jackson,1979,2tvrkU9H5JwdgFEpK3lX17,,1549,620,1013,1506,1376,1704,1647,,1786,523,1170,1165,1025,1186,1211,1241,1206,1091,851,1074
New York State Of Mind,Billy Joel,1976,6yjKlmm7vOszkXEUku1EM1,,1572,865,991,1705,1052,1149,1122,1009,1126,1216,891,1048,1214,973,493,726,840,813,1157,1112
Big Love,Fleetwood Mac,1987,0hOA8SoraNo2ZP1amtVYnY,,1818,,1799,1838,,,,,,1753,1844,1667,1300,903,1147,1118,1424,1404,1261,1380
Streets Of Philadelphia,Bruce Springsteen,1994,3fbnbn6A5O5RNb08tlUEgd,,,76,159,162,116,136,147,114,131,170,161,140,171,143,183,193,158,189,167,148
Knockin' On Heaven's Door,Guns N' Roses,1992,4JiEyzf0Md7KEFFGWDDdCr,,,100,145,134,121,151,176,271,157,212,175,212,222,226,300,325,264,278,202,198
Harder Dan Ik Hebben Kan,Bløf,1999,1buASziRLNHXcTVYFWZ8EK,,,112,85,107,74,120,132,128,118,263,276,317,315,327,383,370,373,373,297,349
Wer Bisto,Twarres,2000,0syeVukhqcxL97N7SBGzm0,,,213,241,351,732,722,854,825,647,1001,1022,1090,1213,1193,1247,1430,1785,1794,1830,1835
Another 45 Miles,Golden Earring,1969,4CwgZ5RmLvJzBf1f48mGML,,,227,350,262,276,211,202,287,237,227,209,237,221,247,311,301,231,234,230,259
Tragedy,Bee Gees,1979,6UXXeFqMBGiqjkzQzkMT3E,,,291,745,892,815,924,937,964,864,1138,1101,1330,1388,1336,1441,1370,1253,1199,1392,1324
I Would Stay,Krezip,2000,6IMuC56Oeqbt9LPna4bfqu,,,327,202,139,386,290,360,249,262,167,251,362,405,426,425,427,478,473,410,229
Wat Zou Je Doen,Bløf,1998,7HYgvrejvflGfm5KCQGkUE,,,328,,,274,487,464,520,538,853,752,893,1035,975,1121,1234,1282,1283,872,952
Angels,Robbie Williams,1998,7fH9ZS8gezOtky5bkYHvCN,,,364,114,24,44,11,18,39,24,34,37,55,41,40,75,80,74,68,76,89
Onderweg,Abel,2000,1EtcyegB7JLkAwwqiPyeJ6,,,435,584,410,503,341,367,282,361,576,615,454,382,484,423,422,393,321,198,276
Foolish Games,Jewel,1997,3pPyv196sOJrbZdNiVNYCA,,,466,320,331,598,696,687,674,589,1045,1177,1133,1270,1136,1376,1380,1556,1639,1638,1806
To Love Somebody,Bee Gees,1967,0mbS3VwRbO6HVBMPXnzOGA,,,609,1649,1247,1172,1109,1236,1151,1179,1537,1438,1720,1964,1863,1952,,1936,1839,1891,1908
De Bestemming,Marco Borsato,1998,58Dly59ph333sUlnuoepS0,,,653,622,771,343,502,563,659,556,422,1079,929,953,1049,1083,958,1318,1479,1219,786
One,U2,1992,3G69vJMWsX6ZohTykad2AU,,,689,766,82,14,17,6,8,10,14,14,13,17,19,22,24,31,32,50,57
I Can't Dance,Genesis,1992,0No5Hr1LxZjJHGsQSTy2bm,,,693,1161,1042,1227,1240,1559,1862,1415,1521,1595,1611,1622,1402,1426,1727,1595,1737,1994,1825
Another One Bites The Dust,Queen,1980,57JVGBtBLCfHw2muk5416J,,,713,498,438,521,567,638,869,620,617,686,476,337,420,512,540,524,692,197,263
You Can't Hurry Love,Phil Collins,1982,4YwbSZaYeYja8Umyt222Qf,,,799,846,722,800,842,961,1291,938,1360,1269,1493,1689,1436,1568,1576,1358,1612,1190,1080
Smoorverliefd,Doe Maar,1981,0OFLK8St1n4C9smb4s7CKX,,,802,866,995,1078,1076,1307,1383,1190,1383,1505,1145,826,1080,1367,1211,1205,1092,1050,1028
Gimme Gimme Gimme,ABBA,1979,2PzCOP5Aj9SABiBgNEZ52G,,,851,865,1085,987,568,1019,768,839,1135,1210,1056,1022,1308,1305,1341,1049,982,560,427
Overcome,Live,2001,1789Nv2WZXHDuhwdZ0jqHZ,,,879,107,64,184,352,409,650,267,419,414,322,425,383,497,440,567,540,664,737
Uptown Girl,Billy Joel,1983,5zA8vzDGqPl2AzZkEYQGKh,,,949,1070,1710,1450,1606,1767,1923,1657,,1975,,,1764,,1894,1845,1772,1152,1212
Nothing Else Matters,Metallica,1992,10igKaIKsSB6ZnWxPxPvKO,,,1014,99,16,19,20,10,15,14,19,11,14,14,9,11,16,15,15,13,15
Gaia,Valensia,1993,7DGLCAl6rlruZgJamCBj7A,,,1053,801,1095,1005,874,1075,1013,1011,907,885,876,760,859,889,712,945,717,1087,1102
She's The One,Robbie Williams,1999,4lO57zZGFcj7vSY4QhfVDq,,,1091,374,205,301,219,383,806,377,939,1075,1245,1273,1020,1388,1516,1521,1773,1525,1621
Kiss,Prince & the Revolution,1986,62LJFaYihsdVrrkgUOJC05,,,1095,1311,1114,957,,1566,1620,1581,1592,1088,1401,1179,1204,1238,1101,721,1077,998,1072
When You Say Nothing At All,Ronan Keating,1999,0gcjc7Vt5xtcfmJgf6g2IO,,,1112,653,746,870,864,1030,1215,958,1120,1300,1175,1392,1351,1455,1636,,1998,1600,1512
That Was Yesterday,Foreigner,1985,4nwUQZbmWMkYzKrXgWRIEw,,,1146,810,1094,1186,1358,1370,1683,1355,1609,1621,1628,1665,1679,1614,1533,1870,1588,1893,1830
Super Trouper,ABBA,1980,2nMghZvtLx6DDgTEHEsb4w,,,1176,1155,832,1334,1307,1407,1094,1205,1531,1433,1662,1801,1800,1857,,1746,1805,974,1049
Times Were When,Cats,1968,5dlok4lYndri2ZVlcSFBOl,,,1320,1083,1142,1036,1129,1035,1089,1101,1028,1181,1357,1656,1506,1472,1627,,1808,1888,1551
Voulez-Vous,ABBA,1979,6jJYlWqSUHXoX15nGk3Yfe,,,1413,1917,,1801,1506,1963,1964,1828,1520,1692,1894,1748,1889,1974,1599,1550,1521,987,1024
Peter Gunn Theme,"Emerson, Lake & Palmer",1980,1trnKvetd2m6s79wivDt9K,,,1438,1327,341,325,404,397,643,447,484,496,722,545,784,868,976,992,877,1098,970
We Don't Need Another Hero,Tina Turner,1985,1qyJ6XpMHdsJD8pkiA7Qww,,,1552,1237,1186,1367,1661,1854,1842,1634,,1958,,,,,,,,,1976
The Family Tree,Venice,1999,5qxfB3e5ZjHYoNcMxPR2J7,,,1805,,579,294,198,171,177,221,234,339,426,501,277,442,499,716,744,823,949
What's Up,4 Non Blondes,1993,0jWgAnTrNZmOGmqgvHhZEm,,,1908,,,,181,463,216,461,368,771,323,855,965,799,687,806,823,948,960
Fool's Overture,Supertramp,1977,5pSSEkT0963muzzIjsVkrs,,,1916,,,180,141,133,139,174,107,98,101,64,70,72,69,95,84,92,71
De Kapitein Deel II,Acda & De Munnik,2000,3lhpOjOF3GZsjNFgMhHtgb,,,,105,212,329,388,404,362,338,681,589,666,896,779,991,778,896,1013,1068,926
Binnen,Marco Borsato,1999,61xjf51dbxiAPW6456T5sj,,,,415,342,161,187,251,346,251,282,652,747,577,846,1041,909,1334,1413,1285,1274
Scarlet Ribbons,Cats,1969,6zOZUtkmDZDkZeNAVSWm26,,,,554,493,718,629,526,639,610,702,645,741,1002,961,958,1108,1360,1218,1512,1209
Tinseltown In The Rain,Blue Nile,1984,5agxCIWiABK6l4ltmCAHoH,,,,1247,445,532,459,567,537,552,816,879,887,749,759,548,626,633,595,871,752
Love Me Tender,Elvis Presley,1956,1bZdOnI0GIcB2xqQqQH7DY,,,,1839,540,388,686,654,709,631,774,708,999,1031,1143,1362,1300,1160,1138,1088,1097
Eye In The Sky,Alan Parsons Project,1982,39qYD4J4BKvZMQgxfXl5bv,,,,1883,201,218,184,182,141,181,267,234,301,303,372,421,487,443,384,441,439
Dansen Aan Zee,Bløf,2000,6hC1xBNYMVK4acdnEXaZVD,,,,,103,163,186,226,190,190,336,263,292,307,386,443,419,473,446,411,475
The Turn Of A Friendly Card,Alan Parsons Project,1980,4E6SMz8ioJ2jj8uQrULqWM,,,,,132,181,188,245,202,210,281,272,375,386,405,411,510,609,618,692,697
Mooie Dag,Bløf,2002,0tWU6puNvcL3xTgWQxZ0DP,,,,,147,112,134,169,194,158,344,345,433,397,389,510,534,671,697,875,731
Als Het Vuur Gedoofd Is,Acda & De Munnik,1997,7aXYw09tC6MX0SUuKisoTn,,,,,185,216,215,248,175,216,435,434,489,516,545,655,615,623,728,895,962
World Of Hurt,Ilse DeLange,1998,21UPgYoW74iDIdVkiWt2cD,,,,,233,365,412,305,560,413,757,495,544,766,884,1049,1327,1576,1644,1324,1339
Bloasmuziek,Gé Reinders,1999,630IU8ZJ65Ck5nWlQWj9Q8,,,,,261,167,67,67,27,69,114,99,177,254,318,373,439,549,671,831,848
I'm Not So Tough,Ilse DeLange,1998,0QlDzeI31sMoBzGAyB0Olm,,,,,288,422,506,341,404,418,697,538,714,685,628,759,1181,1562,1551,991,1076
She,Elvis Costello,1999,31Tp5iKrVUayn65qhg06nE,,,,,313,283,244,275,276,307,304,231,293,328,270,266,319,369,362,467,464
What's Going On,Marvin Gaye,1971,4RNHbYuRaZesMODlihhsUG,,,,,321,297,509,219,212,284,200,268,246,264,264,268,324,464,167,219,512
Ren Lenny Ren,Acda & De Munnik,2002,2ooeXnyWU4oW29aba4paNe,,,,,415,261,228,299,231,300,569,477,530,687,605,428,446,408,365,539,533
One,Metallica,1994,0LAcM6I7ijW4VVW0aytl1t,,,,,478,23,40,30,13,35,31,34,32,20,14,18,20,25,23,23,21
Speeltuin,Marco Borsato,1998,4PcT2hhgYrdTbJQKxlmcZS,,,,,492,190,357,332,318,344,318,804,643,922,886,1136,645,1106,1366,1009,1169
Four Seasons In One Day,Crowded House,1992,7sDHD9tCtnPqGNTRHy0kSR,,,,,494,593,628,596,547,613,742,706,475,832,711,823,940,825,863,1198,1086
Drops Of Jupiter (Tell Me),Train,2001,3pohV2fcMvVYjV991V4fBf,,,,,551,515,765,702,878,735,1067,608,595,365,443,577,660,875,1002,874,927
Jesus To A Child,George Michael,1996,2SzCxX6M6vDwdEwnHDiTaY,,,,,557,659,807,591,619,663,762,845,799,804,990,1078,1155,1350,317,349,356
You Do Something To Me,Paul Weller,1995,2dINjMxChoALja13fOn99R,,,,,707,602,768,736,906,784,658,761,817,722,707,719,684,743,702,939,801
Clocks,Coldplay,2003,0BCPKOYdS2jbQ8iyB56Zns,,,,,733,10,7,9,6,11,8,8,8,9,12,20,29,36,46,57,80
Beautiful Day,U2,2000,1VuBmEauSZywQVtqbxNqka,,,,,807,71,54,59,262,121,118,137,121,96,139,182,191,184,208,201,223
Burning Love,Elvis Presley,1972,7zMUCLm1TN9o9JlLISztxO,,,,,835,825,563,775,813,797,895,986,1123,945,1077,1271,1205,1405,1233,1179,1057
Smooth,Santana & Rob Thomas,1999,0n2SEXB2qoRQg171q7XqeW,,,,,884,925,1175,1318,1641,1324,1361,1580,1315,1276,1110,1100,1253,1643,1473,1603,1611
Mooi Liedje,Acda & De Munnik,1997,0he0fIkQSBhbLRJo5lfeeC,,,,,893,419,286,469,338,437,613,633,727,798,754,804,966,1079,1173,1514,1526
Sailing To Philadelphia,Mark Knopfler & James Taylor,2000,5ti5SeraA9Ci7OtbLhEkz2,,,,,942,427,367,405,515,513,458,393,479,670,582,733,764,1254,1317,866,824
Zij Gelooft In Mij,André Hazes,2000,54fhJhjCSjGPDh5szTqXj3,,,,,1039,30,62,101,291,123,215,192,208,169,187,275,283,256,254,254,240
Walking On The Moon,Police,1979,62uLNJgVZaFiEiKV4LpoYJ,,,,,1052,935,1214,1366,1289,1297,1197,1174,1144,1159,890,1035,1138,1043,1082,921,1229
Het Regent Zonnestralen,Acda & De Munnik,1998,2LGL71GENQR0oC9jMwTTZY,,,,,1061,97,60,64,31,67,61,52,60,98,87,77,63,63,82,101,108
Op Fietse,Skik,1997,0wNgjrYxFhegQrMpTo2J9v,,,,,1082,526,328,432,299,445,181,279,315,314,324,273,311,339,401,374,318
Up Around The Bend,Creedence Clearwater Revival,1970,36gPq8WG7tDxrblyGVUCiT,,,,,1102,1199,1155,1391,1498,1400,1351,1417,1559,1445,1562,1860,,,,,1936
Goodbye Stranger,Supertramp,1979,67oyFnjJnn78fZP9KjeZx0,,,,,1241,1392,1180,1364,1418,1421,1593,1469,1528,1399,1252,1533,1692,1784,1579,1355,1197
N'Oubliez Jamais,Joe Cocker,1997,1uLBV01mO4YMeoUQ3jhyQn,,,,,1254,614,518,473,564,615,605,527,513,683,827,912,809,1012,1120,1459,1450
Ventura Highway,America,1972,4IU1RL4BKvFyXtbTwaHAvW,,,,,1314,1712,1428,1680,1474,1625,1599,1418,1697,1940,1876,1970,1889,1952,1615,1851,1634
Mannish Boy,Muddy Waters,1988,58PSYdY0GFg0LFb2PxYk4T,,,,,1331,1295,1393,1445,1870,1596,1289,1349,1347,656,817,1150,1115,1000,1133,1432,1454
Beast Of Burden,Rolling Stones,1978,77oU2rjC5XbjQfNe3bD6so,,,,,1361,1496,,1666,,1988,,1824,1749,1209,1466,1892,1521,1607,1767,1633,1690
Stuck In A Moment You Can't Get Out Of,U2,2000,3xjTuTBaihydhSC7ByNoSb,,,,,1367,409,511,631,778,686,889,836,723,786,792,951,1098,1269,1486,1389,1581
Zij Maakt Het Verschil,Poema's,2001,4ptF2Hvq7PdsDKXV0o7x2M,,,,,1373,122,146,190,314,234,300,300,356,483,384,576,484,537,545,721,540
Forever Autumn,Jeff Wayne & Justin Hayward,1978,7f2N1tdMVkTsd8jTO5l4F5,,,,,1391,1233,1213,1189,1450,1374,1080,971,1179,758,689,800,1106,1579,1474,1605,1437
Goodbye Yellow Brick Road,Elton John,1973,4IRHwIZHzlHT1FQpRa5RdE,,,,,1573,1611,1878,1763,1752,1765,1810,1519,1946,,,,,,,,1261
Wicked Game,Chris Isaak,1991,390AWnOn2rfe9FzQjYmxIH,,,,,1577,573,,843,830,1059,970,995,889,927,514,750,721,588,417,445,477
Wij Zullen Doorgaan,Ramses Shaffy,1975,19MAlVmXa2jrccQiFVi5UE,,,,,1587,1526,1540,1480,1601,1628,174,1120,1044,1593,1400,1662,1592,1809,1896,1919,1294
Handle With Care,Traveling Wilburys,1988,1vQxicuNSODoBECPMFjHMG,,,,,1631,1456,,1537,838,1525,1396,1383,1257,1119,1189,1218,1317,1803,1225,1565,1493
Witchy Woman,Eagles,1972,1NSjV4Ji9MKtUQDXHAH4k0,,,,,1683,1686,1585,1714,1804,1750,1200,1297,1425,1477,1329,1501,1768,1828,1823,1947,1697
You Make Lovin' Fun,Fleetwood Mac,1978,55mQhobuwtY7lfLAXylg1k,,,,,1762,1740,1719,,,,1969,1683,1887,1725,1379,1453,1738,1911,1904,1931,1889
Flappie,Youp van 't Hek,1981,2Nt6nn7VAKZb6UA4McHOSI,,,,,1856,245,316,379,456,441,427,361,571,751,650,634,509,744,819,1319,1175
Blauwe Ruis,Bløf,2002,4aD91hwL7q6GYCqiVFmqIl,,,,,1894,269,294,423,427,456,694,624,771,427,616,754,735,750,738,882,845
White Flag,Dido,2003,3adnLFXKO5rC1lhUNSeg3N,,,,,,57,164,448,634,322,980,967,1017,1232,1211,1363,1511,1466,1566,1463,1712
Feel,Robbie Williams,2002,2Ms33RTRCT6gArrpcrPxmo,,,,,,229,45,52,127,108,126,145,206,163,208,296,318,329,380,399,433
I Still Cry,Ilse DeLange,2000,2p46wFVZU0jx3kAiVb5ztI,,,,,,237,298,235,310,354,451,282,283,258,354,326,431,675,739,739,675
Don't Know Why,Norah Jones,2002,6ybViy2qrO9sIi41EgRJgx,,,,,,314,361,685,819,674,806,914,1112,982,928,1245,1298,1547,1828,1388,1660
Sunrise,Norah Jones,2004,7zkLpY72g6lKQbiHDqri1S,,,,,,405,447,735,951,776,756,1273,1134,1221,1053,1373,1445,1461,1653,1429,1667
Are You Lonesome Tonight,Elvis Presley,1960,6vXZs9rEQF7Nd6O8Ue7NrT,,,,,,691,585,664,530,734,739,814,1037,803,1260,1491,1406,1552,1414,1517,1458
Born On The Bayou,Creedence Clearwater Revival,1969,5bUlFE9dGh7pX93PUEVAue,,,,,,871,917,774,796,984,932,866,1041,874,1029,1151,1204,1265,1198,1271,1150
If You Don't Know Me By Now,Simply Red,1989,1nlPuhgsLucwgM8vqujlti,,,,,,1057,1005,1039,1276,1349,1155,897,830,1132,857,971,869,982,1057,1159,1135
Stars,Simply Red,1991,5QJSD5GQOq72OmwLV5IHUV,,,,,,1222,1622,1794,1851,1796,1519,1468,1392,1542,1683,1637,1526,1642,1731,1430,1610
Holiday In Spain,Bløf & Counting Crows,2004,0bYnV19fYh4jADz4nOyquD,,,,,,1885,,77,92,201,185,168,226,269,249,337,334,364,443,271,309
Nine Million Bicycles,Katie Melua,2005,470UOQDSTMTBEgkBaeqVN6,,,,,,,23,32,40,58,119,125,214,379,412,472,616,776,845,966,1110
Geef Mij Je Angst,Guus Meeuwis,2004,6uyZLKYhvY4SqQWP9hMomy,,,,,,,79,63,87,137,130,142,159,180,218,301,260,332,461,431,383
Smells Like Teen Spirit,Nirvana,1991,5ghIJDpPoe3CfHMGu71E6T,,,,,,,105,53,62,124,48,71,36,30,26,31,34,32,34,32,37
Bed Of Roses,Bon Jovi,1993,1zng9uqqXoPkmU05nsAlsw,,,,,,,112,112,80,160,151,127,133,157,188,203,212,200,209,199,180
Somewhere Only We Know,Keane,2004,0ll8uFnc0nANY35E0Lfxvg,,,,,,,128,152,248,299,319,329,335,268,182,230,245,260,279,338,319
You're Beautiful,James Blunt,2005,7j6C8ITuzhA7GHmj2z9mSd,,,,,,,135,264,375,428,667,494,616,619,798,1021,996,1220,1320,1748,1684
Brabant,Guus Meeuwis,2004,0GiWi4EkPduFWHQyhiKpRB,,,,,,,144,37,25,74,22,23,22,27,27,33,22,42,50,56,50
Girl,Anouk,2004,5zhee6Apgg8QqeJObO4k1d,,,,,,,168,143,163,264,370,701,550,454,716,829,999,1104,1042,873,907
The Show Must Go On,Queen,1991,3hU637WcAGM5ubSqeaTme5,,,,,,,175,186,298,368,239,238,183,189,165,158,177,171,197,108,107
Nobody's Wife,Anouk,1997,2WtRXmHGWV5o90u1GzmtSw,,,,,,,194,128,90,199,115,70,124,140,145,168,183,180,169,123,125
Love You More,Racoon,2005,4rpU5VpYljwxLmGyb6JzbP,,,,,,,195,106,305,294,172,203,191,117,101,109,116,133,143,186,233
Laat Me / Vivre,Alderliefste & Ramses Shaffy & Liesbeth List,2005,1IpdAKuSYrQKTXs0KpypFb,,,,,,,209,189,123,269,99,151,205,213,207,255,304,351,349,470,280
Geef Mij Je Angst,André Hazes,1983,4EjkPymC7buen3hiuvSiLG,,,,,,,217,163,125,261,428,350,428,376,345,371,382,426,361,415,371
These Are The Days Of Our Lives,Queen,1991,2HpkD9J7t7xBaduVflpmqn,,,,,,,269,336,418,573,306,340,282,422,261,242,290,333,399,218,252
De Neus Umhoeg,Rowwen Hèze,1977,7EILaUlrFRwtvbuNqwHoOt,,,,,,,282,183,138,297,,,,,,,,,1285,930,663
Wonderwall,Oasis,1995,5wj4E6IsrVtn8IBJQOd0Cl,,,,,,,312,159,195,346,150,190,136,133,133,164,140,105,100,107,120
Home,Michael Bublé,2004,4wLZ4zPM9c4oe1VV8ejdWV,,,,,,,313,460,329,603,430,517,710,712,830,820,1135,1382,1801,1367,1510
Bitter Sweet Symphony,The Verve,1997,57iDDD9N9tTWe75x6qhStw,,,,,,,350,242,166,391,164,153,117,84,81,84,89,85,83,96,109
Kleine Jongen,André Hazes,1990,68Mk5sJwy5a6DyjGRTGGux,,,,,,,454,353,417,626,842,304,405,445,356,361,263,211,159,120,113
Michel,Anouk,2000,14ue7xEp7uoJCUfluNlSbp,,,,,,,475,295,196,468,278,503,304,319,376,393,468,594,609,515,513
Hald Mich 's Vas,Neet Oét Lottum,2005,20yjgzUpdqsYAMykkEWipE,,,,,,,508,381,235,553,772,809,1094,1079,741,1009,495,755,829,697,728
Frozen,Madonna,1998,2II03llydk4YnkBBvoYB3B,,,,,,,523,536,808,927,506,594,579,477,589,622,693,808,879,790,1095
Der Weg,Herbert Grönemeyer,2002,7AKqM1fV3UuVDvmfPlGqiU,,,,,,,591,389,243,577,360,356,354,271,279,313,341,519,539,706,667
Tusk,Fleetwood Mac,1979,0iINibMKtoS8duvexsqnm5,,,,,,,619,683,757,1029,432,440,492,626,422,447,452,397,467,558,557
Yours Is No Disgrace,Yes,1971,2ab1xYXLiGMWKBKlMgoB62,,,,,,,642,719,840,1097,657,832,892,1192,968,956,1131,1520,1370,1914,1910
Droomland,André Hazes & Paul de Leeuw,1993,3hiURl5d4M3ihHWW8ZdvPS,,,,,,,663,362,528,720,450,630,783,599,603,702,815,1015,987,916,935
Sacrifice,Anouk,1998,7ohTiUYgmAfuEcSosdhhMF,,,,,,,675,420,440,722,671,725,847,782,1061,1274,1476,1943,1906,1739,1905
All I Need,Air,1999,7jOM0KIKgIppqIEvEjixaj,,,,,,,690,415,201,559,461,480,414,432,539,516,553,528,546,841,1040
Harvest,Neil Young,1972,7hpk3H8tjWh23edusCKW5O,,,,,,,751,538,641,917,524,483,673,660,655,858,1015,1035,1083,1170,1436
My Immortal,Evanescence,2003,4UzVcXufOhGUwF56HT7b8M,,,,,,,763,302,325,602,500,605,527,377,300,341,303,305,283,345,279
Cloudbusting,Kate Bush,1985,5atQ2haKP5LT65WM0KUts3,,,,,,,767,896,909,1275,661,751,736,496,614,478,620,578,598,644,657
Mijn Houten Hart,Poema's,1999,3KxBgn1DhmxhntSOJyduF0,,,,,,,791,293,431,645,332,346,386,562,494,590,577,593,670,654,744
I've Just Lost Somebody,Golden Earring,1968,1RZ3I8OVsBu9lEIxgrQ74L,,,,,,,799,616,842,1075,952,1041,1025,1437,1300,1498,1587,1865,1812,,1963
Somebody Will Know Someday,Cuby & the Blizzards,1967,6FexTAOkMIMIKKOTymEZ55,,,,,,,836,494,294,694,612,648,306,638,604,757,987,1062,1219,1366,1292
Anyplace Anywhere Anytime,Nena & Kim Wilde,2004,03lVH8AlfGRaE4qmkUCVQB,,,,,,,856,380,811,868,753,736,795,664,699,779,881,999,969,838,914
You'll Be In My Heart,Phil Collins,1999,6kvnSiMBa65Nz29g2TYmyW,,,,,,,862,523,444,808,487,486,577,594,450,558,537,678,657,526,608
De Wedstrijd,Bram Vermeulen,1991,3WSb4FHjeuXN0Sb2UevSSp,,,,,,,866,713,542,983,780,834,925,906,939,1172,1468,1561,1873,1273,1782
Feeling Good,Michael Bublé,2004,3I09LQbHS3NSU46Ly3tPpR,,,,,,,867,902,910,1315,788,1219,976,885,933,591,700,1005,1261,1066,1246
Als Het Golft,De Dijk,2000,7hd85zDqXaTmLkpVHM6pYG,,,,,,,913,468,462,782,633,548,683,678,753,1052,983,1063,1271,1252,1195
Moon Over Bourbon Street,Sting,1985,3KF1EXX2zGfVtGeZKiClB0,,,,,,,955,722,549,1005,,688,749,977,894,1163,1269,1233,1334,1469,1617
Listen To Your Heart,Roxette,1988,78TnMTAFmWUWWCgNXR7D3K,,,,,,,1003,801,1022,1352,1068,1272,1153,1323,1097,1168,1196,1117,1234,1168,1144
Hart Van Mijn Gevoel,De Kast,1999,6o0eTZmvmJbLm5xJck1xvN,,,,,,,1013,758,772,1185,1071,509,773,1042,925,1022,1145,1464,1497,1744,1595
Mensch,Herbert Grönemeyer,2004,2urspvjqMlyq8JVAudN3DK,,,,,,,1024,605,498,918,654,525,630,632,738,728,903,1174,1345,1644,1588
Fields Of Gold,Eva Cassidy,1998,5vtOJrmovXGxGsnAck694H,,,,,,,1086,514,301,728,377,319,311,373,227,322,354,444,535,584,625
People Are Strange,Doors,1967,1Jmqubf9kGkWeYQXQKImL5,,,,,,,1099,724,739,1158,731,678,517,388,361,501,527,683,781,1015,874
On Every Street,Dire Straits,1992,7lX5thFFq1mEARXVPgJ1op,,,,,,,1120,951,973,1439,931,955,975,836,823,940,960,933,799,1022,966
Scarborough Fair,Simon & Garfunkel,1966,3g2fYZW5v2od8KIF7VktT0,,,,,,,1125,699,1078,1318,649,622,636,674,645,767,830,842,992,1077,1153
Ik Heb Je Lief,Stef Bos,1992,0VdyNMtU4LCoXTHihglJuu,,,,,,,1145,680,628,1071,779,829,801,913,810,920,1057,1495,1757,1747,1645
Don't Speak,No Doubt,1996,6BX2GqepVQelRMJ2NreCRh,,,,,,,1159,784,1124,1397,796,788,855,908,769,957,1017,965,901,1030,1011
For No One,Beatles,1966,1kDkaFlmkdEZiVUogaP9OZ,,,,,,,1161,698,596,1052,789,875,932,988,871,1283,1193,1501,1493,1834,1794
Life On Mars,David Bowie,1971,3ZE3wv8V3w2T2f7nOCjV0N,,,,,,,1171,901,727,1261,653,698,738,649,482,477,570,182,267,351,388
Lay All Your Love On Me,ABBA,1981,2245x0g1ft0HC7sf79zbYN,,,,,,,1259,1059,896,1477,692,738,911,961,953,945,1086,950,911,505,466
I Wish It Would Rain Down,Phil Collins,1990,4F2t297QK40XFcIHqkmLHs,,,,,,,1289,918,1048,1494,972,1026,974,1115,984,1050,1095,1066,1129,964,1109
Hide In Your Shell,Supertramp,1974,0ldE7rHWykc9OUViCzdviV,,,,,,,1308,966,843,1399,914,976,1076,849,887,931,988,1313,1328,1434,1453
It Was A Very Good Year,Frank Sinatra,1965,2ID3rNM3hFBjqrLcV0Wr0y,,,,,,,1315,737,749,1196,1021,898,638,1018,828,869,818,1185,1287,1299,1524
Why Worry,Dire Straits,1985,4Yy5d21CJvXQ8cOuaTiCRD,,,,,,,1323,783,707,1198,897,826,964,834,947,993,1031,1142,1163,1220,1130
Ordinary People,John Legend,2005,2ZA4uMlSZjaoWGFqP1tsLI,,,,,,,1339,580,1028,1214,1160,940,584,907,480,968,946,1218,1423,1468,1522
'39,Queen,1975,0kIpcu3DQacQObHVyra9Jx,,,,,,,1431,725,771,1219,724,807,656,440,606,663,763,850,895,817,828
Still Crazy After All These Years,Paul Simon,1975,3gIBSlXYIN1mru35l4LWPB,,,,,,,1471,974,1234,1631,1064,947,1157,1521,1361,1254,1474,1396,1553,1518,1981
Cowboys And Angels,George Michael,1990,5zBji6TIyTQHhwyhnKcGRG,,,,,,,1483,728,767,1221,962,893,865,936,1005,967,1020,1277,412,522,538
Songbird,Eva Cassidy,1998,7G86DBnh06o8lrS5FLmriW,,,,,,,1517,995,664,1331,983,774,590,701,654,900,1059,1178,1389,1509,1613
Mother Earth,Within Temptation,2002,0Ggzy6UEomashfAkKHzcQr,,,,,,,1652,1150,795,1507,343,425,337,259,257,269,292,353,333,386,285
Time To Say Goodbye,Andrea Bocelli & Sarah Brightman,1997,3p02ss31ywBaZcqh7Vq9sx,,,,,,,1841,174,91,293,301,212,251,370,353,426,535,828,1081,516,620
Daughters,John Mayer,2005,5FPnjikbwlDMULCCCa6ZCJ,,,,,,,1890,344,729,884,469,364,378,344,304,523,471,563,603,660,702
Rood,Marco Borsato,2006,3yxFiZHkQgJmLEyhij30rr,,,,,,,,17,30,73,79,133,187,263,342,374,323,527,653,544,498
De Vondeling Van Ameland,Boudewijn De Groot,2004,67N7gtrmUKh7GXAJpgsp73,,,,,,,,55,22,117,55,61,110,149,181,223,286,342,371,427,389
