titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oerend Hard,Normaal,1977,3d8KtuxdO6kba5qzRcbqlk,126,149,169,106,95,117,82,107,119,101,226,214,302,256,275,271,186,336,343,330,88
Samba Pa Ti,Santana,1970,35fC3Wq3slX4OBfyvBVmHm,127,150,153,176,188,177,182,184,257,182,161,154,221,276,295,216,273,196,236,423,436
Teach Your Children,"Crosby, Stills, Nash & Young",1970,29HaKOpeLSYvqdFyEQSRdj,128,145,78,150,130,142,159,160,199,149,237,208,325,628,513,751,776,498,640,681,698
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,129,87,166,180,202,189,227,283,452,247,538,497,545,519,436,589,566,568,523,426,587
I Will Always Love You,Whitney Houston,1992,4eHbdreAnSOrDDsFfc4Fpm,131,405,476,551,537,463,636,513,483,505,505,534,687,401,433,446,381,453,484,447,617
Take On Me,A-Ha,1985,2WfaOiMkCvy7F5fcp2zZ8L,132,68,72,79,145,146,147,247,179,152,345,293,308,368,394,284,227,178,156,321,331
Under Pressure,David Bowie & Queen,1981,11IzgLRXV7Cgek3tEgGgjw,133,265,332,185,308,273,345,493,524,376,229,352,324,265,192,193,201,87,101,38,54
Living Doll,Cliff Richard & The Young Ones,1986,2OqzR7I7GF19T2qPrbmYQC,134,371,374,450,1008,696,967,1081,1103,887,916,973,1049,1574,1160,1314,1433,1490,1661,1766,1821
Owner Of A Lonely Heart,Yes,1983,0GTK6TesV108Jj5D3MHsYb,135,94,86,101,165,221,233,318,374,235,270,348,361,364,406,379,389,412,458,662,747
Fragile,Sting,1988,5oE6INocVL9viDow5y8QNM,136,249,99,118,99,105,98,90,115,98,117,110,111,78,74,86,95,102,110,155,150
Zelfs Je Naam Is Mooi,Henk Westbroek,1998,5RWOzvrzPQnt5Ybqxgddrc,137,129,210,171,97,144,122,96,124,113,190,141,232,260,320,340,380,514,526,659,546
Happy New Year,ABBA,1980,7nvmxaLf5hq9ZDTIMME27m,138,382,349,503,426,320,417,402,225,330,552,552,619,643,815,771,911,851,894,892,758
Kiss From A Rose,Seal,1994,3YKptz29AsOlm7WAVnztBh,139,262,389,227,222,270,384,337,465,329,376,344,332,396,329,299,280,307,320,440,517
Barcelona,Freddie Mercury & Montserrat Caballé,1987,07rjmFuB0I2O1UuIPnu6Qj,140,134,189,160,186,251,201,180,181,175,241,147,162,105,200,249,296,302,211,143,176
Proud Mary,Ike & Tina Turner,1971,5YI7v4VBa23fbEt9wuUmkg,141,132,168,144,136,114,139,139,223,138,205,193,182,225,224,202,268,277,250,180,172
How You Gonna See Me Now,Alice Cooper,1979,0spN4UlSI0X6YSYCWpSzgz,142,136,91,128,168,132,166,289,170,163,414,248,368,711,626,603,807,708,654,789,953
Do They Know It's Christmas,Band Aid,1984,0247StOpd3AkeBQzANX4Zf,143,137,277,298,612,203,709,815,934,563,992,985,1203,1262,1225,673,908,1149,1192,1329,1138
Hurricane,Bob Dylan,1975,1lqMLr9Wj7SM2F9AikGcxN,144,56,56,66,83,60,66,70,55,61,58,58,70,95,73,115,127,100,133,160,208
Du,Peter Maffay,1971,6fFshpRdAV1MHSpzXP3Yyk,145,170,223,210,133,206,221,136,173,153,147,160,180,234,268,278,332,303,266,326,270
