titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,935
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1088
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1102
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1129
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1152
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1221
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1250
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1283
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1293
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1303
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1322
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1329
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1362
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1425
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1461
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1511
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1532
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1536
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1574
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1593
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1628
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1637
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1659
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1661
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1678
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1679
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1720
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1740
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1750
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1809
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1852
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1864
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1894
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1964
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1965
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1966
Swimming Into Deep Water,Don Rosenbaum,1972,,1422,1579,1397,1634,1796,1980,1148,,,,,,,,,,,,,,1988
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,51
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,84
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,127
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,161
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,291
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,349
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,354
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,368
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,413
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,494
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,506
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,514
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,619
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,632
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,721
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,748
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,789
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,834
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,848
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,892
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,935
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1088
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1102
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1129
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1152
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1221
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1250
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1283
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1293
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1303
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1322
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1329
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1362
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1425
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1461
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1511
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1532
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1536
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1574
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1593
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1628
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1637
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1659
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1661
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1678
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1679
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1720
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1740
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1750
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1809
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1852
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1864
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1894
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1964
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1965
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1966
Both Sides Now,Euson,1971,,1435,,1535,1824,1994,1729,,1981,1913,1885,,,,,,,,,,,1988
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,51
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,84
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,127
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,161
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,291
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,349
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,354
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,368
