titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,834
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,848
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,892
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,935
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1088
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1102
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1129
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1152
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1221
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1250
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1283
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1293
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1303
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1322
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1329
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1362
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1425
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1461
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1511
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1532
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1536
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1574
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1593
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1628
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1637
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1659
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1661
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1678
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1679
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1720
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1740
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1750
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1809
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1852
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1864
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1894
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1964
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1965
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1966
To France,Mike Oldfield ft. Maggie Reilly,1984,,,1084,1060,1552,1315,1457,1522,1827,,1826,1999,1877,,,1869,,,,,,1988
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,51
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,84
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,127
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,161
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,291
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,349
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,354
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,368
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,413
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,494
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,506
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,514
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,619
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,632
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,721
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,748
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,789
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,834
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,848
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,892
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,935
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1088
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1102
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1129
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1152
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1221
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1250
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1283
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1293
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1303
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1322
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1329
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1362
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1425
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1461
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1511
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1532
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1536
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1574
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1593
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1628
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1637
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1659
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1661
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1678
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1679
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1720
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1740
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1750
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1809
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1852
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1864
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1894
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1964
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1965
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1966
Magic Forest,Fat Matress,1969,,,1181,,,,,,,,,,,,,,,,,,,1988
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,51
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,84
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,127
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,161
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,291
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,349
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,354
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,368
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,413
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,494
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,506
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,514
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,619
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,632
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,721
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,748
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,789
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,834
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,848
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,892
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,935
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1088
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1102
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1129
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1152
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1221
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1250
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1283
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1293
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1303
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1322
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1329
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1362
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1425
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1461
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1511
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1532
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1536
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1574
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1593
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1628
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1637
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1659
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1661
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1678
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1679
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1720
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1740
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1750
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1809
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1852
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1864
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1894
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1964
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1965
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1966
Versailles,White Soxx,1981,,,1196,766,736,713,858,873,1187,1005,932,1337,1311,1536,1314,1439,1558,,,,,1988
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,51
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,84
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,127
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,161
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,291
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,349
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,354
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,368
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,413
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,494
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,506
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,514
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,619
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,632
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,721
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,748
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,789
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,834
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,848
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,892
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,935
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1088
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1102
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1129
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1152
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1221
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1250
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1283
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1293
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1303
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1322
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1329
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1362
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1425
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1461
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1511
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1532
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1536
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1574
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1593
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1628
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1637
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1659
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1661
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1678
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1679
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1720
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1740
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1750
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1809
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1852
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1864
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1894
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1964
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1965
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1966
I'll Never Drink Again,Alexander Curly,1972,,,1217,943,1263,1469,1123,1539,1842,1211,1401,,,,,,,,,,,1988
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,51
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,84
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,127
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,161
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,291
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,349
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,354
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,368
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,413
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,494
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,506
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,514
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,619
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,632
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,721
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,748
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,789
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,834
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,848
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,892
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,935
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1088
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1102
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1129
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1152
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1221
Harborlight,Windjammer,1977,,,1262,1158,1341,1803,1669,1659,1975,1739,1701,,,,,,,,,,,1250
